TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Hmgb1	Rps14	-0.14754	-0.04351	rgb(208,211,219)	1.4167	2,2
Hmgb3	Acin1	0.14754	0.061869	rgb(218,205,205)	1.5667	2,2
Kdm5b	Hmgcl	0.14754	0.02963	rgb(217,211,211)	1.5667	2,2
L3mbtl3	Mgll	-0.14754	-0.0098571	rgb(215,216,217)	1.4167	2,2
L3mbtl3	Pcbp4	-0.14754	-0.058069	rgb(204,209,219)	1.4167	2,2
Litaf	Eci1	0.14754	0.05596	rgb(218,206,206)	1.5667	2,2
Mxd3	Icam2	-0.14754	-0.01899	rgb(213,214,218)	1.4167	2,2
Mxd3	Mical1	0.14754	0.076307	rgb(218,202,203)	1.5667	2,2
Naif1	Pigb	0.14754	0.038173	rgb(217,210,210)	1.5667	2,2
Naif1	Pts	-0.14754	-0.050958	rgb(206,210,219)	1.4167	2,2
Phf20	Parp9	-0.14754	-0.041115	rgb(208,212,219)	1.4167	2,2
Pou5f2	Ascc1	-0.14754	-0.036606	rgb(209,212,218)	1.4167	None
Pou5f2	Chac1	-0.14754	-0.016631	rgb(213,215,218)	1.4167	2,2
Prox2	Dclre1a	0.14754	0.053209	rgb(218,207,207)	1.5667	2,2
Sp6	Tef	0.14754	0.060116	rgb(218,206,206)	1.5667	2,2
Sp9	Dhrs1	0.14754	0.068343	rgb(218,204,204)	1.5667	2,2
Zbed3	Slfn2	-0.14754	-0.012317	rgb(214,215,217)	1.4167	2,2
Zbtb46	Dusp14	0.14754	0.013926	rgb(217,214,214)	1.5667	2,2
Zfp111	Lgals3bp	0.14754	0.022859	rgb(217,213,213)	1.5667	2,2
Zfp318	Lime1	-0.14754	-0.04168	rgb(208,211,219)	1.4167	2,2
Zfp334	Snx9	0.14754	0.01701	rgb(217,214,214)	1.5667	2,2
Zfp418	Plekhf2	-0.14754	-0.011851	rgb(214,215,217)	1.4167	2,2
Zfp429	Cd86	0.14754	0.0055562	rgb(217,216,216)	1.5667	2,2
