TF	Target	rank	confidence	stroke	stroke-width	stroke-dasharray
Irf9	Cyth1	1	0.3543	rgb(221,149,150)	2	2,2
Six1	Endod1	1	0.26843	rgb(220,166,166)	2	2,2
Tbx21	Cdk6	1	0.35286	rgb(221,150,150)	2	2,2
Foxa1	Rgs16	-0.96721	-0.29215	rgb(154,178,228)	1	2,2
Sall4	Slfn2	-0.96721	-0.46152	rgb(117,156,235)	1	2,2
Clock	Calcrl	0.95082	0.16272	rgb(219,186,186)	1.975	2,2
Rora	Cyth1	0.95082	0.23702	rgb(220,172,172)	1.975	2,2
Sgsm2	Slc16a6	-0.95082	-0.40847	rgb(128,163,233)	1.0083	None
Irf2	Stk4	0.93443	0.38635	rgb(221,143,144)	1.9667	2,2
Trerf1	Antxr2	0.93443	0.50284	rgb(223,121,122)	1.9667	2,2
Cux1	Stk39	0.91803	0.50771	rgb(223,120,121)	1.9583	2,2
Prrx1	Endod1	-0.91803	-0.20888	rgb(172,189,225)	1.025	2,2
Rel	Cd86	0.91803	0.3296	rgb(221,154,155)	1.9583	2,2
Trp73	Cyth1	0.91803	0.20885	rgb(219,177,178)	1.9583	2,2
Sgsm2	Rgs16	-0.91803	-0.23998	rgb(165,185,226)	1.025	2,2
Zfp777	Pdxp	0.91803	0.47422	rgb(222,126,127)	1.9583	2,2
Creb3l2	Rcsd1	-0.90164	-0.45493	rgb(118,157,234)	1.0333	2,2
Elk3	Ermp1	-0.90164	-0.31987	rgb(148,175,229)	1.0333	2,2
Hhex	Rxra	0.90164	0.43084	rgb(222,135,136)	1.95	2,2
Nfe2	Cdk6	0.90164	0.2096	rgb(219,177,177)	1.95	2,2
Sp7_Sp8...	Sh3gl3	0.90164	0.27466	rgb(220,165,165)	1.95	2,2
Casz1	Myo10	0.90164	0.52204	rgb(223,117,118)	1.95	2,2
Tigd2	Calcrl	0.90164	0.15499	rgb(219,187,188)	1.95	2,2
Zfp52	Mpzl2	-0.90164	-0.33626	rgb(144,173,230)	1.0333	2,2
Etv2	Rgs16	0.88525	0.19158	rgb(219,180,181)	1.9417	2,2
Irf9	Ifit2	0.88525	0.37928	rgb(221,145,145)	1.9417	2,2
Mafg	Fyn	0.88525	0.61776	rgb(224, 99,100)	1.9417	2,2
Mxi1	Stk4	-0.88525	-0.27949	rgb(156,180,228)	1.0417	2,2
Nfe2l2	Stk4	-0.88525	-0.26092	rgb(160,183,227)	1.0417	2,2
Prrx1	Prickle1	-0.88525	-0.26182	rgb(160,182,227)	1.0417	2,2
Sp4	Cyth1	0.88525	0.22602	rgb(219,174,174)	1.9417	2,2
Spib	Cdk6	-0.88525	-0.18384	rgb(177,193,224)	1.0417	2,2
Foxp2	Endod1	0.88525	0.16207	rgb(219,186,186)	1.9417	2,2
Zfp418	Sh3gl3	0.88525	0.19746	rgb(219,179,180)	1.9417	2,2
Crem	Cmah	0.86885	0.45211	rgb(222,131,132)	1.9333	2,2
Dbp	Jak2	0.86885	0.20943	rgb(219,177,177)	1.9333	2,2
Ebf1	Cd86	-0.86885	-0.24177	rgb(165,185,226)	1.05	2,2
Esr1	Zfp7	0.86885	0.46909	rgb(222,127,128)	1.9333	2,2
Fos	Irf4	-0.86885	-0.45617	rgb(118,157,234)	1.05	2,2
Foxf2	Herc4	0.86885	0.23607	rgb(220,172,172)	1.9333	2,2
Foxq1	Arhgef3	0.86885	0.58885	rgb(223,105,106)	1.9333	2,2
Irf1	Ccr7	0.86885	0.29101	rgb(220,161,162)	1.9333	2,2
Rreb1	Nfkbie	0.86885	0.4709	rgb(222,127,128)	1.9333	2,2
Six1	Stk39	0.86885	0.27441	rgb(220,165,165)	1.9333	2,2
Stat3	Pccb	-0.86885	-0.3048	rgb(151,177,229)	1.05	2,2
Tcf7l1	Eea1	0.86885	0.66489	rgb(224, 90, 91)	1.9333	2,2
Dpf1	Cog6	0.86885	0.29204	rgb(220,161,162)	1.9333	2,2
Hmgb1	Ccr7	-0.86885	-0.32717	rgb(146,174,229)	1.05	2,2
Mxd1	Mmd	-0.86885	-0.37009	rgb(137,168,231)	1.05	None
Bcl11b	Herc4	0.85246	0.20563	rgb(219,178,178)	1.925	2,2
Bcl6	Calcrl	0.85246	0.13292	rgb(218,192,192)	1.925	2,2
Bhlhe40	Map4k4	0.85246	0.30816	rgb(220,158,159)	1.925	2,2
Crem	Inpp5a	0.85246	0.49282	rgb(222,123,124)	1.925	2,2
Dbp	B3gnt2	0.85246	0.27509	rgb(220,164,165)	1.925	None
Gabpa	Minpp1	0.85246	0.3056	rgb(220,159,159)	1.925	None
Gata2	App	0.85246	0.29742	rgb(220,160,161)	1.925	2,2
Gfi1	Rabggta	-0.85246	-0.44294	rgb(121,159,234)	1.0583	2,2
Mef2d	Nr4a1	0.85246	0.3353	rgb(221,153,154)	1.925	2,2
Msx2	Zeb1	0.85246	0.53025	rgb(223,116,117)	1.925	2,2
Nkx3-1	Antxr2	0.85246	0.21363	rgb(219,176,177)	1.925	2,2
Nkx3-1	Cxcr6	0.85246	0.43887	rgb(222,133,134)	1.925	2,2
Ppara	Tex15	0.85246	0.38538	rgb(221,143,144)	1.925	2,2
Pparg	B4galnt1	0.85246	0.49096	rgb(222,123,124)	1.925	2,2
Pparg	Gnpda1	-0.85246	-0.46602	rgb(116,155,235)	1.0583	2,2
Rreb1	Vgll4	0.85246	0.53036	rgb(223,116,117)	1.925	2,2
Sox21	Ccl3	-0.85246	-0.48524	rgb(112,153,235)	1.0583	None
Srebf1	Foxp1	-0.85246	-0.70934	rgb( 63,123,244)	1.0583	2,2
Stat1	Cd86	0.85246	0.22718	rgb(219,174,174)	1.925	2,2
Stat3	Lta	0.85246	0.30924	rgb(220,158,159)	1.925	2,2
Stat3	Myo10	0.85246	0.41061	rgb(222,139,139)	1.925	2,2
Stat3	Sidt1	-0.85246	-0.49905	rgb(109,151,236)	1.0583	2,2
Trp53	Ppm1d	0.85246	0.39009	rgb(221,142,143)	1.925	2,2
Zbtb6	Batf	0.85246	0.39519	rgb(221,142,142)	1.925	2,2
Zeb1	App	0.85246	0.27003	rgb(220,165,166)	1.925	2,2
Zfp219	Rgs16	-0.85246	-0.17571	rgb(179,194,224)	1.0583	2,2
Zfp281	Nr4a1	0.85246	0.43503	rgb(222,134,135)	1.925	2,2
Ncoa1	Csnk1e	0.85246	0.44187	rgb(222,133,133)	1.925	2,2
Tal2	Batf	-0.85246	-0.31537	rgb(149,175,229)	1.0583	2,2
Zfp280b	Rxra	0.85246	0.3238	rgb(221,155,156)	1.925	2,2
Creb3l1	Cog6	0.83607	0.23937	rgb(220,171,172)	1.9167	2,2
Dbp	Padi2	-0.83607	-0.28608	rgb(155,179,228)	1.0667	2,2
E2f4	Rcsd1	0.83607	0.29285	rgb(220,161,162)	1.9167	2,2
Egr2	Cdk6	-0.83607	-0.19203	rgb(175,192,224)	1.0667	2,2
Fosl2	Fyn	0.83607	0.36823	rgb(221,147,147)	1.9167	2,2
Foxf2	Aste1	0.83607	0.54632	rgb(223,113,114)	1.9167	2,2
Hif1a	Pdxp	0.83607	0.24479	rgb(220,170,171)	1.9167	None
Hmga1_Hmga1-rs1	Gnptab	0.83607	0.4597	rgb(222,129,130)	1.9167	2,2
Hmx3	Gnptab	-0.83607	-0.35291	rgb(140,170,230)	1.0667	2,2
Hsf1	Antxr2	-0.83607	-0.21979	rgb(169,188,225)	1.0667	2,2
Ikzf5	Csnk1e	0.83607	0.38275	rgb(221,144,145)	1.9167	2,2
Nfkb2	Rxra	0.83607	0.3069	rgb(220,158,159)	1.9167	2,2
Nr1h2_Nr1h3	Map4k4	-0.83607	-0.3007	rgb(152,177,228)	1.0667	2,2
Ppard	Mpzl2	-0.83607	-0.25098	rgb(163,184,227)	1.0667	2,2
Pparg	Tex15	-0.83607	-0.36465	rgb(138,169,231)	1.0667	2,2
Rela	Rcsd1	0.83607	0.29712	rgb(220,160,161)	1.9167	2,2
Snai2	Itpr1	-0.83607	-0.39921	rgb(130,164,232)	1.0667	2,2
Sp4	Stk39	0.83607	0.24691	rgb(220,170,170)	1.9167	2,2
Stat3	Arhgef3	-0.83607	-0.428	rgb(124,161,233)	1.0667	2,2
Stat3	Lif	0.83607	0.47521	rgb(222,126,127)	1.9167	2,2
Tcf7l2	Cyth1	-0.83607	-0.17423	rgb(179,194,224)	1.0667	2,2
Csrnp1	Socs1	0.83607	0.59356	rgb(224,104,105)	1.9167	2,2
Mbnl2	Ifit2	0.83607	0.24227	rgb(220,171,171)	1.9167	2,2
Tal2	Marcksl1	0.83607	0.43178	rgb(222,135,135)	1.9167	2,2
Ar	Tox	-0.81967	-0.33326	rgb(145,173,230)	1.075	2,2
Atf2	Vgll4	0.81967	0.30594	rgb(220,159,159)	1.9083	2,2
Atf6	Ptprf	0.81967	0.53294	rgb(223,115,116)	1.9083	2,2
Batf	Map4k4	0.81967	0.3251	rgb(221,155,156)	1.9083	2,2
Batf3	Glcci1	-0.81967	-0.43766	rgb(122,159,234)	1.075	2,2
Egr1	Ap3b1	0.81967	0.46819	rgb(222,128,129)	1.9083	2,2
Egr2	Cmah	0.81967	0.20367	rgb(219,178,179)	1.9083	2,2
Fosl2	Irf4	-0.81967	-0.35957	rgb(139,170,231)	1.075	2,2
Foxc1	Glcci1	0.81967	0.29203	rgb(220,161,162)	1.9083	2,2
Gfi1	Slamf7	-0.81967	-0.32375	rgb(147,174,229)	1.075	None
Jun	Map4k4	0.81967	0.24375	rgb(220,170,171)	1.9083	2,2
Jund	Igf2bp3	0.81967	0.38319	rgb(221,144,145)	1.9083	2,2
Meis2	Itpr1	0.81967	0.36717	rgb(221,147,148)	1.9083	2,2
Meis2	Ivd	0.81967	0.35466	rgb(221,149,150)	1.9083	2,2
Meis2	Tnfaip8	0.81967	0.46079	rgb(222,129,130)	1.9083	2,2
Mesp1_Mesp2	Slc1a4	-0.81967	-0.19583	rgb(175,191,224)	1.075	2,2
Myc	Kcnmb4	-0.81967	-0.20261	rgb(173,190,225)	1.075	None
Nfat5	Rcsd1	0.81967	0.29676	rgb(220,160,161)	1.9083	None
Ppard	Got1	0.81967	0.23778	rgb(220,172,172)	1.9083	2,2
Pparg	Satb1	-0.81967	-0.30954	rgb(150,176,229)	1.075	2,2
Rbpj	Tox	0.81967	0.3018	rgb(220,159,160)	1.9083	2,2
Sall3	Slc1a4	0.81967	0.20115	rgb(219,179,179)	1.9083	2,2
Sp2	Minpp1	-0.81967	-0.25798	rgb(161,183,227)	1.075	2,2
Sp4	Igfbp7	0.81967	0.35311	rgb(221,150,150)	1.9083	2,2
Stat3	Adarb1	0.81967	0.53543	rgb(223,115,116)	1.9083	2,2
Tcf7l2	Celf2	0.81967	0.47813	rgb(222,126,127)	1.9083	2,2
Topors	Igfbp7	0.81967	0.31109	rgb(220,158,158)	1.9083	2,2
Zbtb33	Timd2	0.81967	0.39518	rgb(221,142,142)	1.9083	2,2
Zeb1	Rab20	0.81967	0.448	rgb(222,131,132)	1.9083	2,2
Zfp148	Rabggta	0.81967	0.36889	rgb(221,147,147)	1.9083	2,2
Zfp219	Inpp5a	0.81967	0.29129	rgb(220,161,162)	1.9083	2,2
Zkscan1	Rai14	0.81967	0.2884	rgb(220,162,162)	1.9083	2,2
Klf10	Nfkbie	-0.81967	-0.29613	rgb(153,178,228)	1.075	2,2
Satb1	Prickle1	-0.81967	-0.22742	rgb(168,187,226)	1.075	2,2
Zfp120	Asnsd1	0.81967	0.45074	rgb(222,131,132)	1.9083	2,2
Zfp280b	Cxcr6	-0.81967	-0.3699	rgb(137,168,231)	1.075	2,2
Zfp395	Hvcn1	-0.81967	-0.24144	rgb(165,185,226)	1.075	2,2
Batf	Jak2	0.80328	0.14195	rgb(219,190,190)	1.9	None
Bcl6	Osbpl2	0.80328	0.31944	rgb(221,156,157)	1.9	2,2
Bhlhe40	Bmp2k	0.80328	0.65156	rgb(224, 93, 94)	1.9	2,2
Cebpg	Hspa4l	0.80328	0.33445	rgb(221,153,154)	1.9	2,2
Cebpg	Ptprj	0.80328	0.42823	rgb(222,135,136)	1.9	2,2
Crem	Nr4a1	0.80328	0.32473	rgb(221,155,156)	1.9	2,2
E2f4	Haus8	0.80328	0.15594	rgb(219,187,188)	1.9	2,2
Egr2	Casp3	-0.80328	-0.28683	rgb(155,179,228)	1.0833	2,2
Elf1	Ctsb	-0.80328	-0.74587	rgb( 55,119,245)	1.0833	2,2
Erg	Mvp	0.80328	0.54054	rgb(223,114,115)	1.9	None
Etv6	Tnf	0.80328	0.44838	rgb(222,131,132)	1.9	2,2
Fosl1	Ptprj	0.80328	0.43589	rgb(222,134,135)	1.9	2,2
Fosl2	Ptpre	0.80328	0.33373	rgb(221,153,154)	1.9	2,2
Foxf2	Nrip1	0.80328	0.56298	rgb(223,109,111)	1.9	2,2
Foxf2	Phlpp1	0.80328	0.64758	rgb(224, 93, 95)	1.9	2,2
Foxo3	Prkch	0.80328	0.39834	rgb(221,141,142)	1.9	2,2
Gata3	Cdk6	0.80328	0.18891	rgb(219,181,181)	1.9	2,2
Glis1	Cd86	0.80328	0.16081	rgb(219,186,187)	1.9	2,2
Hlf	Chst15	0.80328	0.28518	rgb(220,163,163)	1.9	2,2
Hmg20b	Ivd	0.80328	0.29927	rgb(220,160,160)	1.9	2,2
Hmga2	Endod1	-0.80328	-0.10777	rgb(194,203,221)	1.0833	2,2
Hsf1	Per2	0.80328	0.50816	rgb(223,120,121)	1.9	2,2
Irf2	Slfn2	0.80328	0.17673	rgb(219,183,184)	1.9	None
Irf8	Fut8	0.80328	0.4123	rgb(222,138,139)	1.9	2,2
Irf9	Alcam	0.80328	0.36814	rgb(221,147,147)	1.9	2,2
Klf13	Rab4b	0.80328	0.66124	rgb(224, 91, 92)	1.9	2,2
Klf4	Ccdc92	0.80328	0.50584	rgb(223,120,121)	1.9	2,2
Klf4	Gimap7	0.80328	0.47648	rgb(222,126,127)	1.9	2,2
Klf5	Nlgn2	0.80328	0.42849	rgb(222,135,136)	1.9	2,2
Mafb	Nfkbie	-0.80328	-0.28286	rgb(156,180,228)	1.0833	2,2
Maff	Gja1	0.80328	0.26202	rgb(220,167,167)	1.9	2,2
Nfat5	Mmd	0.80328	0.23948	rgb(220,171,172)	1.9	2,2
Nfatc4	Mllt3	0.80328	0.47997	rgb(222,125,126)	1.9	2,2
Nfkb2	Xpnpep1	0.80328	0.29558	rgb(220,161,161)	1.9	2,2
Nr1d1	Sidt1	-0.80328	-0.28124	rgb(156,180,228)	1.0833	None
Nr1d1	Xrcc5	-0.80328	-0.55306	rgb( 97,144,238)	1.0833	2,2
Patz1	Dusp6	0.80328	0.22908	rgb(220,173,174)	1.9	2,2
Pou2f2	Lta	-0.80328	-0.2472	rgb(163,184,226)	1.0833	2,2
Rorc	Kcnmb4	0.80328	0.20099	rgb(219,179,179)	1.9	2,2
Rorc	Ncf1	-0.80328	-0.36612	rgb(138,169,231)	1.0833	2,2
Six5	Ccr7	0.80328	0.20856	rgb(219,177,178)	1.9	2,2
Smad3	Lrmp	-0.80328	-0.47116	rgb(115,155,235)	1.0833	2,2
Sp4	Lgmn	0.80328	0.23803	rgb(220,172,172)	1.9	2,2
Srf	Tulp3	-0.80328	-0.3498	rgb(141,171,230)	1.0833	2,2
Stat3	St3gal1	-0.80328	-0.45251	rgb(119,157,234)	1.0833	2,2
Stat5b	Jak2	0.80328	0.16771	rgb(219,185,185)	1.9	2,2
Tfdp1_Tfdp2	Ifit2	0.80328	0.19362	rgb(219,180,180)	1.9	2,2
Xbp1	Nr4a1	0.80328	0.28629	rgb(220,162,163)	1.9	2,2
Zfp202	Ltb	0.80328	0.34365	rgb(221,151,152)	1.9	2,2
Zfp219	Satb1	0.80328	0.32867	rgb(221,154,155)	1.9	2,2
Zfp263	Tfg	0.80328	0.37297	rgb(221,146,147)	1.9	2,2
Zfp467	Tns1	0.80328	0.28536	rgb(220,162,163)	1.9	2,2
Aebp2	Vrk2	-0.80328	-0.29675	rgb(153,178,228)	1.0833	2,2
Casz1	Maff	0.80328	0.42586	rgb(222,136,137)	1.9	2,2
Klf10	Sh3gl3	-0.80328	-0.16605	rgb(181,195,223)	1.0833	2,2
Plscr1	Slc7a3	0.80328	0.35958	rgb(221,148,149)	1.9	2,2
Prdm8	Antxr2	0.80328	0.19559	rgb(219,180,180)	1.9	2,2
Sgsm2	Qprt	0.80328	0.37061	rgb(221,146,147)	1.9	2,2
Terf1	Ptpre	0.80328	0.34781	rgb(221,151,151)	1.9	2,2
Zbtb38	Calcrl	0.80328	0.1245	rgb(218,193,193)	1.9	2,2
Zfp266	Rab8b	0.80328	0.35342	rgb(221,149,150)	1.9	2,2
Zfp35	Rbmx	0.80328	0.61111	rgb(224,100,102)	1.9	2,2
Zfp580	Ddx19b	-0.80328	-0.31943	rgb(148,175,229)	1.0833	2,2
Zfp618	Abhd6	0.80328	0.44342	rgb(222,132,133)	1.9	2,2
Zfp629	Qprt	-0.80328	-0.3795	rgb(135,167,231)	1.0833	2,2
Ahr	Haus8	0.78689	0.20934	rgb(219,177,177)	1.8917	2,2
Arid2	Mmd	0.78689	0.25825	rgb(220,168,168)	1.8917	2,2
Atf2	Fbxw2	0.78689	0.33179	rgb(221,154,154)	1.8917	2,2
Dbp	Socs2	-0.78689	-0.40659	rgb(129,163,232)	1.0917	2,2
E2f1	Rxra	0.78689	0.25904	rgb(220,168,168)	1.8917	2,2
E2f4	Parp6	-0.78689	-0.53828	rgb(100,146,237)	1.0917	2,2
Egr2	Dzip1	0.78689	0.25149	rgb(220,169,169)	1.8917	2,2
Elk3	Tox	-0.78689	-0.31555	rgb(149,175,229)	1.0917	2,2
Fli1	Jak2	-0.78689	-0.22431	rgb(168,187,226)	1.0917	2,2
Foxb1	Igf2bp3	0.78689	0.33558	rgb(221,153,154)	1.8917	2,2
Foxo3	Ets1	0.78689	0.48824	rgb(222,124,125)	1.8917	2,2
Gfi1	Slc3a2	-0.78689	-0.41992	rgb(126,162,233)	1.0917	2,2
Insm1	Cish	0.78689	0.28787	rgb(220,162,163)	1.8917	2,2
Jdp2	Ppm1d	0.78689	0.21832	rgb(219,175,176)	1.8917	2,2
Jdp2	Rgs16	-0.78689	-0.1686	rgb(180,195,223)	1.0917	2,2
Jund	Abcg2	0.78689	0.27682	rgb(220,164,165)	1.8917	2,2
Klf13	Dazap2	0.78689	0.40255	rgb(221,140,141)	1.8917	2,2
Klf2	Lta	0.78689	0.25746	rgb(220,168,168)	1.8917	2,2
Meis2	Ppm1d	0.78689	0.19917	rgb(219,179,179)	1.8917	2,2
Mga	Cog6	0.78689	0.14831	rgb(219,189,189)	1.8917	2,2
Mitf	Casp3	-0.78689	-0.27457	rgb(157,181,227)	1.0917	2,2
Mxi1	Id1	0.78689	0.18515	rgb(219,182,182)	1.8917	2,2
Mxi1	Ppp1r10	0.78689	0.27454	rgb(220,165,165)	1.8917	2,2
Myc	Pgm1	-0.78689	-0.24339	rgb(164,185,226)	1.0917	2,2
Myc	Plagl1	0.78689	0.31357	rgb(220,157,158)	1.8917	2,2
Nfatc2	Gnptab	0.78689	0.29442	rgb(220,161,161)	1.8917	2,2
Nfatc4	Vgll4	0.78689	0.21284	rgb(219,176,177)	1.8917	2,2
Nfe2l2	Ccr7	-0.78689	-0.20961	rgb(172,189,225)	1.0917	2,2
Nfia	Ccr7	0.78689	0.22692	rgb(219,174,174)	1.8917	2,2
Nhlh1	L1cam	0.78689	0.47907	rgb(222,125,126)	1.8917	2,2
Nr3c1	Creb3l2	-0.78689	-0.33054	rgb(145,173,230)	1.0917	2,2
Pou6f1	Pltp	0.78689	0.2526	rgb(220,169,169)	1.8917	2,2
Runx1	Trim24	0.78689	0.26721	rgb(220,166,166)	1.8917	2,2
Smad3	Ctla2b	0.78689	0.82163	rgb(226, 60, 62)	1.8917	2,2
Smad3	Padi2	0.78689	0.24941	rgb(220,169,170)	1.8917	2,2
Sox13	Slc29a3	0.78689	0.50582	rgb(223,120,121)	1.8917	2,2
Srebf2	Trib2	0.78689	0.36116	rgb(221,148,149)	1.8917	2,2
Stat1	Tbx21	0.78689	0.45657	rgb(222,130,131)	1.8917	2,2
Stat2	Lta	-0.78689	-0.2467	rgb(163,184,226)	1.0917	2,2
Stat3	Ptpn2	0.78689	0.55113	rgb(223,112,113)	1.8917	None
Stat4	Sgip1	0.78689	0.44955	rgb(222,131,132)	1.8917	2,2
Tcf3	Fbxo11	-0.78689	-0.56024	rgb( 95,143,238)	1.0917	2,2
Tead1	Il1rn	-0.78689	-0.33167	rgb(145,173,230)	1.0917	2,2
Trp53	Aste1	0.78689	0.33268	rgb(221,153,154)	1.8917	2,2
Zeb1	Cndp2	0.78689	0.30186	rgb(220,159,160)	1.8917	2,2
Zfp148	Acsl5	-0.78689	-0.28226	rgb(156,180,228)	1.0917	2,2
Zfp148	Klf13	0.78689	0.65262	rgb(224, 92, 94)	1.8917	2,2
Zfp148	Rpn1	-0.78689	-0.48007	rgb(113,154,235)	1.0917	2,2
Zfp263	Slc16a6	0.78689	0.15746	rgb(219,187,187)	1.8917	None
Akna	Endod1	0.78689	0.12937	rgb(218,192,193)	1.8917	2,2
Eea1	Socs1	-0.78689	-0.26894	rgb(159,181,227)	1.0917	2,2
Mbnl2	Pdxp	-0.78689	-0.16536	rgb(181,195,223)	1.0917	2,2
Phf20	Aste1	-0.78689	-0.37018	rgb(137,168,231)	1.0917	2,2
Prdm9	Cdadc1	0.78689	0.3488	rgb(221,150,151)	1.8917	2,2
Satb1	Slamf7	0.78689	0.23944	rgb(220,171,172)	1.8917	2,2
Trps1	Myo6	-0.78689	-0.30035	rgb(152,177,228)	1.0917	2,2
Zbtb46	Rhbdf1	0.78689	0.27018	rgb(220,165,166)	1.8917	2,2
Zeb2	Dusp22	0.78689	0.29241	rgb(220,161,162)	1.8917	2,2
Zfp280b	Atp11a	0.78689	0.22034	rgb(219,175,175)	1.8917	2,2
Zfp318	Haus8	-0.78689	-0.14249	rgb(186,198,222)	1.0917	2,2
Zfp429	Klrd1	0.78689	0.36251	rgb(221,148,148)	1.8917	2,2
Zfp429	Mcoln2	-0.78689	-0.248	rgb(163,184,226)	1.0917	None
Zfp719	Jak2	0.78689	0.15569	rgb(219,187,188)	1.8917	2,2
Zfp750	Ercc5	0.78689	0.55561	rgb(223,111,112)	1.8917	2,2
Zfp768	Angptl4	0.78689	0.37835	rgb(221,145,145)	1.8917	2,2
Zfp869	Dhcr24	-0.78689	-0.5502	rgb( 98,144,238)	1.0917	2,2
Zfp955b	Rexo4	0.78689	0.60913	rgb(224,101,102)	1.8917	2,2
Ar	Slamf7	0.77049	0.21624	rgb(219,176,176)	1.8833	2,2
Ascl2	Rxra	0.77049	0.32653	rgb(221,155,155)	1.8833	2,2
Atf2	Maff	0.77049	0.37144	rgb(221,146,147)	1.8833	2,2
Atf3	Vrk2	-0.77049	-0.23197	rgb(167,186,226)	1.1	2,2
Bcl6	Abhd6	-0.77049	-0.34483	rgb(142,171,230)	1.1	2,2
Bhlhe40	Jak2	-0.77049	-0.17894	rgb(178,193,224)	1.1	2,2
Cebpg	Smox	0.77049	0.49782	rgb(222,122,123)	1.8833	2,2
Dbp	Eea1	0.77049	0.29356	rgb(220,161,162)	1.8833	2,2
Ddit3	Prkca	0.77049	0.42768	rgb(222,135,136)	1.8833	2,2
E2f1	Tnfaip8	-0.77049	-0.28383	rgb(155,180,228)	1.1	2,2
E2f4	Tyms	0.77049	0.73168	rgb(225, 77, 79)	1.8833	2,2
Egr1	Pgrmc1	0.77049	0.65541	rgb(224, 92, 93)	1.8833	2,2
Egr2	Lbh	0.77049	0.41237	rgb(222,138,139)	1.8833	2,2
Egr2	Padi2	0.77049	0.33115	rgb(221,154,154)	1.8833	2,2
Esrra	Satb1	-0.77049	-0.27534	rgb(157,181,227)	1.1	2,2
Ets1	Ptpre	-0.77049	-0.31463	rgb(149,175,229)	1.1	2,2
Fos	Tnfsf9	0.77049	0.50322	rgb(223,121,122)	1.8833	2,2
Fosl1	Creb3l2	0.77049	0.294	rgb(220,161,161)	1.8833	2,2
Fosl1	Sorl1	0.77049	0.34541	rgb(221,151,152)	1.8833	2,2
Fosl2	Cxcr6	0.77049	0.24881	rgb(220,169,170)	1.8833	2,2
Foxc1	Tle4	0.77049	0.57853	rgb(223,107,108)	1.8833	2,2
Foxh1	Itga3	-0.77049	-0.50523	rgb(107,150,236)	1.1	2,2
Foxn3	Satb1	0.77049	0.25591	rgb(220,168,169)	1.8833	2,2
Foxp3	Prkch	0.77049	0.33996	rgb(221,152,153)	1.8833	2,2
Foxs1	Socs2	0.77049	0.31736	rgb(220,156,157)	1.8833	2,2
Gata1	Cmas	0.77049	0.48674	rgb(222,124,125)	1.8833	2,2
Gata1	Hsd17b7	-0.77049	-0.22412	rgb(168,187,226)	1.1	2,2
Gata1	Tnfrsf1a	0.77049	0.25246	rgb(220,169,169)	1.8833	2,2
Hdx	Ermp1	0.77049	0.21351	rgb(219,176,177)	1.8833	2,2
Hmg20b	Minpp1	0.77049	0.19734	rgb(219,179,180)	1.8833	2,2
Hsf1	Lif	0.77049	0.35361	rgb(221,149,150)	1.8833	None
Insm1	Tulp3	0.77049	0.28572	rgb(220,162,163)	1.8833	2,2
Klf10_Klf11	Slc39a8	0.77049	0.28438	rgb(220,163,163)	1.8833	2,2
Klf4	Rbmx	-0.77049	-0.39519	rgb(131,165,232)	1.1	2,2
Klf4	Slc1a4	0.77049	0.23192	rgb(220,173,173)	1.8833	2,2
Lef1	Socs1	-0.77049	-0.24255	rgb(164,185,226)	1.1	2,2
Lyl1_Tal2	Myo10	0.77049	0.2275	rgb(220,174,174)	1.8833	2,2
Maff	Tspyl4	0.77049	0.2122	rgb(219,176,177)	1.8833	2,2
Meis1	Vav3	-0.77049	-0.60785	rgb( 85,137,240)	1.1	2,2
Meis3	Map4k4	-0.77049	-0.18765	rgb(176,192,224)	1.1	2,2
Nfat5	Jak2	0.77049	0.18842	rgb(219,181,181)	1.8833	2,2
Nfe2	Cish	0.77049	0.26143	rgb(220,167,168)	1.8833	2,2
Nfe2	Tulp3	0.77049	0.28303	rgb(220,163,164)	1.8833	2,2
Nfic	Dusp6	-0.77049	-0.22344	rgb(169,188,225)	1.1	2,2
Nr1h2_Nr1h3	Vps54	-0.77049	-0.44299	rgb(121,159,234)	1.1	2,2
Pbx2	Tns1	-0.77049	-0.29013	rgb(154,179,228)	1.1	2,2
Plagl2	Cd96	0.77049	0.39634	rgb(221,141,142)	1.8833	2,2
Plagl2	Mpzl2	0.77049	0.19474	rgb(219,180,180)	1.8833	2,2
Pou2af1	Cbx4	0.77049	0.36705	rgb(221,147,148)	1.8833	2,2
Rbpj	Map4k4	0.77049	0.22257	rgb(219,174,175)	1.8833	2,2
Rel	Slc16a6	0.77049	0.14759	rgb(219,189,189)	1.8833	2,2
Rela	Sh3kbp1	0.77049	0.72711	rgb(225, 78, 80)	1.8833	2,2
Sall4	Chst15	-0.77049	-0.26554	rgb(159,182,227)	1.1	2,2
Smad3	Celf2	-0.77049	-0.30018	rgb(152,177,228)	1.1	2,2
Sox4	Phlpp1	0.77049	0.39152	rgb(221,142,143)	1.8833	2,2
Sp2	Retsat	0.77049	0.47086	rgb(222,127,128)	1.8833	2,2
Sp3	Rnh1	0.77049	0.5402	rgb(223,114,115)	1.8833	2,2
Sp3	Xpnpep1	0.77049	0.27018	rgb(220,165,166)	1.8833	2,2
Sp7_Sp8...	Tfpi	0.77049	0.21537	rgb(219,176,176)	1.8833	2,2
Srebf1	Xpnpep1	0.77049	0.26913	rgb(220,166,166)	1.8833	2,2
Srebf2	Stat3	0.77049	0.3373	rgb(221,153,153)	1.8833	2,2
Stat3	Ap3b1	-0.77049	-0.32033	rgb(147,175,229)	1.1	2,2
