TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Sp2	Pdzk1ip1	0.78189	0.57187	rgb(223,108,109)	1.8876	2,2
Klf5	C2cd2l	0.78183	0.57798	rgb(223,107,108)	1.8876	2,2
E2f4	E2f7	0.78116	0.52192	rgb(223,117,118)	1.8872	2,2
Klf5	Hmgn1	-0.77861	-0.63201	rgb( 80,134,241)	1.0836	2,2
Smad3	Nt5e	0.77588	0.55861	rgb(223,110,111)	1.8845	2,2
Nr1d2	Il1r1	0.77423	0.55454	rgb(223,111,112)	1.8837	2,2
Klf4	Efemp2	0.77303	0.4842	rgb(222,125,125)	1.8831	2,2
Ikzf2	Mapk7	-0.77139	-0.35168	rgb(141,171,230)	1.0874	2,2
Tet1	Hist1h1b	0.77048	0.53313	rgb(223,115,116)	1.8817	2,2
E2f4	Dars2	0.76991	0.70234	rgb(225, 83, 84)	1.8815	2,2
Zfx	Zfp592	0.7697	0.47299	rgb(222,127,128)	1.8813	2,2
Klf8	Hist1h1e	0.76853	0.55759	rgb(223,110,112)	1.8807	2,2
Batf	Hif1a	0.76812	0.684	rgb(225, 86, 88)	1.8805	2,2
Sp2	Dnajc12	0.76633	0.59735	rgb(224,103,104)	1.8796	2,2
Zfp281	Zfp395	0.7654	0.56269	rgb(223,110,111)	1.8791	2,2
Elf1	Il2rb	-0.76487	-0.62895	rgb( 81,134,241)	1.0907	2,2
Egr4	Rnh1	-0.76459	-0.74006	rgb( 56,119,245)	1.0909	2,2
Klf7	Ascc1	0.76454	0.53415	rgb(223,115,116)	1.8787	2,2
Elf1	Itpr3	-0.76405	-0.63914	rgb( 78,133,241)	1.0911	2,2
Sox12	Foxo1	-0.7628	-0.62997	rgb( 80,134,241)	1.0918	2,2
Sp2	Gm12942	0.76266	0.56269	rgb(223,110,111)	1.8777	2,2
Fosl1	Chst12	0.76246	0.48624	rgb(222,124,125)	1.8776	2,2
Smad3	Ctla2b	0.76242	0.83792	rgb(226, 57, 59)	1.8776	2,2
Tcf3	Naga	0.76201	0.55759	rgb(223,110,112)	1.8774	2,2
Hes1	Fkrp	0.76188	0.70234	rgb(225, 83, 84)	1.8773	2,2
Klf5	Adam15	0.75866	0.54842	rgb(223,112,113)	1.8757	2,2
Cic	Ptprj	0.75815	0.72375	rgb(225, 79, 80)	1.8754	2,2
Gabpa	Polr3b	0.75694	0.71458	rgb(225, 81, 82)	1.8748	2,2
Zbtb46	Idi2	0.7551	0.66157	rgb(224, 91, 92)	1.8738	2,2
