TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zfp955b	St3gal5	-0.086667	37.47	-4.7E-01	rgb(116,155,235)	1.7348	2,2
Cebpb	St7l	0.083419	37.34	0.335	rgb(221,153,154)	1.7322	2,2
Zfp709	Sptlc1	0.083419	37.34	0.336	rgb(221,153,153)	1.7322	2,2
Bbx	St3gal5	0.080171	37.25	0.25	rgb(220,169,170)	1.7304	2,2
Zfp426	Srxn1	0.076923	37.22	0.225	rgb(219,174,174)	1.7298	2,2
Bcl11b	Srpk1	-0.073675	37.21	-2.1E-01	rgb(171,189,225)	1.7296	2,2
Ybx2	Stambp	0.073675	37.21	0.206	rgb(219,178,178)	1.7296	2,2
Dbp	Spsb4	0.070427	37.19	0.193	rgb(219,180,181)	1.7292	2,2
Hbp1	Stap1	0.070427	37.19	0.185	rgb(219,182,182)	1.7292	None
Prrx1	Srpx2	0.067179	37.17	0.169	rgb(219,185,185)	1.7288	2,2
Sp9	Spsb4	0.067179	37.17	0.174	rgb(219,184,184)	1.7288	2,2
Zfp629	Sqstm1	0.063932	37.15	0.148	rgb(219,189,189)	1.7284	2,2
St18	Stap1	0.060684	37.12	0.125	rgb(218,193,193)	1.7278	2,2
