TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Six5	St6galnac1	0.56725	47.15	0.149	rgb(219,189,189)	1.9299	None
Etv4	Spsb4	-0.56456	47.13	-1.3E-01	rgb(189,200,222)	1.9295	2,2
Batf	Ssh2	0.56187	47.12	0.117	rgb(218,195,195)	1.9293	None
Relb	St3gal1	0.55918	47.09	0.089	rgb(218,200,200)	1.9287	None
Ybx2	Sspo	0.55649	47.08	0.077	rgb(218,202,202)	1.9285	2,2
Irf1	Spsb4	-0.5538	47	-4.8E-03	rgb(216,216,217)	1.9269	None
Sox5	Sqle	-0.55111	46.45	-4.5E-01	rgb(120,158,234)	1.9158	2,2
Zfp444	Ssbp4	0.54831	46.44	0.436	rgb(222,134,135)	1.9156	2,2
Mxd1	Stap1	-0.54551	46.41	-4.1E-01	rgb(127,162,233)	1.915	2,2
Smad4	Stab1	0.54271	46.37	0.371	rgb(221,146,147)	1.9142	2,2
Prox2	Srgn	-0.54271	46.37	-3.7E-01	rgb(138,169,231)	1.9142	2,2
Srf	Sqstm1	0.5399	46.31	0.308	rgb(220,158,159)	1.913	2,2
Six3	Srpx2	0.5399	46.31	0.31	rgb(220,158,158)	1.913	2,2
Trerf1	Spsb1	0.5371	46.3	0.305	rgb(220,159,159)	1.9128	2,2
Zfp26	Stambp	-0.5371	46.3	-3.0E-01	rgb(153,178,228)	1.9128	2,2
Nfkb2	Srxn1	0.5343	46.29	0.288	rgb(220,162,163)	1.9126	2,2
Nr4a3	St18	0.5315	46.28	0.285	rgb(220,163,163)	1.9124	2,2
Irf5	Sqstm1	0.5287	46.27	0.27	rgb(220,165,166)	1.9121	None
Zbtb7a	St3gal5	0.5287	46.27	0.272	rgb(220,165,166)	1.9121	None
Irf1	Stap1	0.52589	46.23	0.231	rgb(220,173,173)	1.9113	None
Glis3	Sqle	-0.52309	46.22	-2.2E-01	rgb(169,188,225)	1.9111	2,2
Spib	Ssbp4	-0.52029	46.21	-2.1E-01	rgb(171,189,225)	1.9109	None
Tead1	Sptlc1	0.51749	46.2	0.2	rgb(219,179,179)	1.9107	2,2
Foxh1	St8sia6	0.51469	46.18	0.176	rgb(219,183,184)	1.9103	2,2
Rarg	Stap1	-0.51469	46.18	-1.8E-01	rgb(177,193,224)	1.9103	None
Zfp651	Sspo	0.51188	46.16	0.163	rgb(219,186,186)	1.9099	2,2
Myc	Sqstm1	-0.50908	46.15	-1.5E-01	rgb(184,197,223)	1.9097	None
Stat1	St3gal1	-0.50908	46.15	-1.5E-01	rgb(184,197,223)	1.9097	None
Fosl1	Stac2	0.50628	46.14	0.136	rgb(218,191,191)	1.9095	None
Stat3	Stambp	-0.50348	46.11	-1.1E-01	rgb(193,202,221)	1.9089	2,2
Zbtb7a	Ssbp4	0.50068	46.08	0.08	rgb(218,202,202)	1.9083	None
Stat3	St8sia6	0.49787	46.06	0.06	rgb(218,206,206)	1.9079	None
Rest	Ss18	-0.49507	46.05	-5.0E-02	rgb(206,210,219)	1.9077	None
Prdm1	Srgap3	-0.49227	46.04	-4.0E-02	rgb(208,212,219)	1.9075	None
Foxn2	Stap1	0.48947	46.03	0.034	rgb(217,211,211)	1.9073	None
Zfp707	Ss18	0.48667	45.47	0.467	rgb(222,128,129)	1.896	2,2
Tshz2	St14	-0.48383	45.4	-4.0E-01	rgb(131,165,232)	1.8946	2,2
Srf	Sra1	0.48099	45.37	0.371	rgb(221,146,147)	1.894	2,2
Mafg	St3gal5	0.47815	45.35	0.351	rgb(221,150,151)	1.8936	2,2
Atmin	Spsb1	-0.47531	45.3	-3.0E-01	rgb(153,178,228)	1.8926	2,2
Fosl2	Spsb1	0.47247	45.29	0.294	rgb(220,161,161)	1.8924	2,2
Nr4a1	St6galnac1	0.46963	45.28	0.279	rgb(220,164,164)	1.8922	2,2
Nr4a2	Srpk2	0.46679	45.27	0.268	rgb(220,166,166)	1.892	2,2
Rreb1	Stac2	-0.46679	45.27	-2.7E-01	rgb(159,182,227)	1.892	2,2
Klf7	St7	-0.46395	45.26	-2.6E-01	rgb(160,183,227)	1.8918	None
Zfp281	Ssh2	0.46395	45.26	0.259	rgb(220,168,168)	1.8918	None
Foxb1	Stab1	-0.46111	45.24	-2.4E-01	rgb(164,185,226)	1.8914	2,2
Hsf2	St6galnac1	-0.46111	45.24	-2.4E-01	rgb(166,186,226)	1.8914	2,2
Atf3	Stab1	0.45827	45.21	0.208	rgb(219,177,178)	1.8908	None
Zfp182	Src	-0.45827	45.21	-2.1E-01	rgb(171,189,225)	1.8908	2,2
Zfp651	St3gal1	0.45543	45.15	0.15	rgb(219,188,189)	1.8896	2,2
Ncoa1	Ssh2	0.45259	45.14	0.143	rgb(219,190,190)	1.8894	2,2
Arid5a	Ssh2	-0.44975	45.13	-1.3E-01	rgb(189,200,222)	1.8892	None
Rreb1	Sra1	-0.44975	45.13	-1.3E-01	rgb(188,199,222)	1.8892	None
Hes1	Srpk2	-0.44691	45.11	-1.1E-01	rgb(192,202,221)	1.8888	None
Zfp263	Stac2	0.44407	45.09	0.09	rgb(218,200,200)	1.8884	None
Stat3	St3gal1	-0.44123	45.07	-7.5E-02	rgb(201,207,220)	1.888	None
Elf1	St7l	-0.4384	45.04	-4.5E-02	rgb(207,211,219)	1.8874	None
Myc	St7	0.43556	44.57	0.568	rgb(223,108,110)	1.8779	None
Tef	Srpk1	0.4332	44.44	0.437	rgb(222,134,134)	1.8753	None
Tcf7l2	Spsb4	0.43085	44.33	0.33	rgb(221,154,155)	1.8731	None
Ski	Ssbp4	0.43085	44.33	0.334	rgb(221,153,154)	1.8731	2,2
Mitf	Ssh2	0.4285	44.31	0.306	rgb(220,159,159)	1.8727	None
Sp4	Spsb1	0.42614	44.3	0.296	rgb(220,160,161)	1.8725	None
Bcl6	Ssbp4	0.42379	44.26	0.262	rgb(220,167,168)	1.8717	None
Zfp105	St3gal1	-0.42144	44.24	-2.4E-01	rgb(165,186,226)	1.8712	None
Glis2	Stac2	-0.41908	44.22	-2.2E-01	rgb(170,189,225)	1.8708	2,2
Zfp651	Srpk1	-0.41673	44.16	-1.6E-01	rgb(181,195,223)	1.8696	2,2
Egr1	Sqle	0.41438	44.15	0.154	rgb(219,188,188)	1.8694	None
Maf	Src	-0.41203	44.14	-1.4E-01	rgb(187,199,222)	1.8692	None
Atf3	St8sia6	0.40967	44.12	0.125	rgb(218,193,193)	1.8688	None
Hif3a	Srpx2	0.40732	44.1	0.1	rgb(218,198,198)	1.8684	2,2
Rara	Sspo	0.40497	44.09	0.095	rgb(218,199,199)	1.8682	None
Zfp667	Srsf12	0.40261	44.05	0.054	rgb(218,207,207)	1.8674	2,2
Atf3	St14	0.40026	44.04	0.039	rgb(217,209,210)	1.8672	2,2
Zfp219	Ssbp4	0.39791	44.03	0.03	rgb(217,211,211)	1.867	None
Fosb	Sqstm1	0.39556	43.36	0.362	rgb(221,148,149)	1.8535	None
Naif1	St7l	0.39556	43.36	0.361	rgb(221,148,149)	1.8535	2,2
Zfp524	Stab1	0.39278	43.33	0.331	rgb(221,154,155)	1.8529	2,2
Nfatc2	Ss18	-0.39	43.32	-3.2E-01	rgb(148,175,229)	1.8527	2,2
Jdp2	Srgn	-0.38722	43.29	-2.9E-01	rgb(154,179,228)	1.8521	2,2
Litaf	St8sia6	0.38722	43.29	0.287	rgb(220,162,163)	1.8521	2,2
Gata3	St14	-0.38444	43.26	-2.6E-01	rgb(160,182,227)	1.8515	2,2
Six5	St8sia6	0.38167	43.24	0.237	rgb(220,172,172)	1.8511	2,2
Zbtb7a	Sptlc1	-0.37889	43.19	-1.9E-01	rgb(176,192,224)	1.8501	None
Zfp575	Stac2	0.37889	43.19	0.189	rgb(219,181,181)	1.8501	2,2
Nfe2l2	Ssh2	-0.37611	43.17	-1.7E-01	rgb(180,195,223)	1.8497	None
