TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zfp148	St7	-0.85659	50.29	-2.9E-01	rgb(154,179,228)	1.9921	None
Mxd1	Spsb1	0.85659	50.29	0.294	rgb(220,161,161)	1.9921	2,2
Gata3	Stap1	0.85085	50.28	0.285	rgb(220,163,163)	1.9919	None
Klf12	Srpk1	-0.85085	50.28	-2.8E-01	rgb(157,180,228)	1.9919	None
Nfe2l2	Ssbp4	0.85085	50.28	0.28	rgb(220,164,164)	1.9919	None
Tbx6	Sqle	-0.85085	50.28	-2.8E-01	rgb(157,180,228)	1.9919	2,2
Atf3	St14	-0.84512	50.27	-2.7E-01	rgb(157,181,227)	1.9917	2,2
Egr2	Srpk1	0.84512	50.27	0.274	rgb(220,165,165)	1.9917	None
Sox5	Srpk2	0.84512	50.27	0.265	rgb(220,166,167)	1.9917	None
Dpf1	Stac2	0.84512	50.27	0.27	rgb(220,165,166)	1.9917	2,2
Mbnl2	St8sia6	0.84512	50.27	0.272	rgb(220,165,166)	1.9917	2,2
Fli1	Ssh2	0.83938	50.26	0.264	rgb(220,167,167)	1.9915	None
Mlxipl	Sra1	-0.83938	50.26	-2.6E-01	rgb(161,183,227)	1.9915	None
Six5	Srxn1	-0.83938	50.26	-2.6E-01	rgb(160,183,227)	1.9915	None
Zbtb1	Sptlc1	0.83938	50.26	0.264	rgb(220,167,167)	1.9915	2,2
Zfp667	Sptlc1	-0.83938	50.26	-2.6E-01	rgb(161,183,227)	1.9915	2,2
Rfx7	Srxn1	0.83364	50.25	0.254	rgb(220,168,169)	1.9913	2,2
Tead1	Sptlc1	0.83364	50.25	0.249	rgb(220,170,170)	1.9913	2,2
Satb1	Srgn	0.83364	50.25	0.251	rgb(220,169,170)	1.9913	2,2
Cebpb	St8sia6	-0.82791	50.24	-2.4E-01	rgb(165,185,226)	1.9911	None
Fli1	Sra1	0.82791	50.24	0.239	rgb(220,171,172)	1.9911	None
Mxi1	Ssbp4	0.82791	50.24	0.236	rgb(220,172,172)	1.9911	None
Nfia	St8sia6	0.82791	50.24	0.24	rgb(220,171,172)	1.9911	2,2
Nr1d1	Stab1	0.82791	50.24	0.237	rgb(220,172,172)	1.9911	None
Tead3	Srgn	0.82791	50.24	0.238	rgb(220,172,172)	1.9911	None
Maff	St3gal1	-0.82217	50.23	-2.3E-01	rgb(166,186,226)	1.9909	None
Meis2	Srpk1	-0.82217	50.23	-2.3E-01	rgb(167,186,226)	1.9909	None
Prox1	Sspo	0.82217	50.23	0.226	rgb(219,174,174)	1.9909	2,2
Zfp334	Srxn1	0.82217	50.23	0.231	rgb(220,173,173)	1.9909	2,2
Zfp105	St3gal1	-0.81643	50.22	-2.2E-01	rgb(168,187,226)	1.9907	None
Egr2	Srgap3	0.8107	50.21	0.205	rgb(219,178,178)	1.9905	None
Peg3	St18	0.8107	50.21	0.21	rgb(219,177,177)	1.9905	2,2
Zfp367	St3gal5	0.8107	50.21	0.212	rgb(219,177,177)	1.9905	2,2
Batf	Srpx2	0.80496	50.19	0.188	rgb(219,181,182)	1.9901	None
Stat4	Srgap3	0.79922	50.18	0.175	rgb(219,183,184)	1.9899	None
Nfkb2	Srgap3	0.79349	50.17	0.172	rgb(219,184,184)	1.9897	None
Stat3	St8sia6	-0.79349	50.17	-1.7E-01	rgb(181,195,223)	1.9897	None
Zfp148	Ssh2	0.79349	50.17	0.169	rgb(219,185,185)	1.9897	None
Hes1	Srpk2	-0.78775	50.16	-1.6E-01	rgb(182,195,223)	1.9895	None
Bcl11b	St8sia6	0.78202	50.15	0.146	rgb(219,189,189)	1.9893	None
Foxp3	Stac2	0.77628	50.14	0.138	rgb(219,191,191)	1.9891	None
Fosl2	Src	0.77054	50.08	0.083	rgb(218,201,201)	1.9879	None
Xbp1	Stab1	-0.77054	50.08	-8.2E-02	rgb(199,206,220)	1.9879	None
Bach1	Srxn1	0.76481	50.06	0.064	rgb(218,205,205)	1.9875	None
Dr1	Ss18	-0.75907	50.05	-5.2E-02	rgb(206,210,219)	1.9873	2,2
Zfp11	Srpx2	-0.75333	49.55	-5.5E-01	rgb( 98,145,238)	1.9773	2,2
Srebf1	St7l	0.75046	49.51	0.515	rgb(223,119,120)	1.9764	None
Pcgf2	Stambp	0.74759	49.43	0.432	rgb(222,135,135)	1.9748	2,2
Ar	Ss18	0.74472	49.4	0.402	rgb(221,140,141)	1.9742	None
Hmg20b	Ssh2	-0.74472	49.4	-4.0E-01	rgb(129,164,232)	1.9742	2,2
Ebf1	St8sia6	0.74185	49.37	0.372	rgb(221,146,147)	1.9736	2,2
Zfp219	Srgn	0.74185	49.37	0.37	rgb(221,146,147)	1.9736	None
Myt1l	St6galnac1	-0.73898	49.35	-3.5E-01	rgb(141,171,230)	1.9732	2,2
Nr4a3	Sptlc1	0.73611	49.34	0.34	rgb(221,152,153)	1.973	2,2
Pou2f2	Srpk2	0.73611	49.34	0.338	rgb(221,152,153)	1.973	None
Glis3	Ssh2	0.73324	49.33	0.332	rgb(221,154,154)	1.9728	2,2
Irf5	Sqstm1	0.73037	49.32	0.323	rgb(221,155,156)	1.9726	None
Arntl2	St3gal1	-0.7275	49.31	-3.1E-01	rgb(149,176,229)	1.9724	2,2
Nfat5	Stambp	0.72463	49.3	0.297	rgb(220,160,161)	1.9722	None
Nr4a2	Srpk2	0.72463	49.3	0.295	rgb(220,161,161)	1.9722	2,2
Lhx6	St14	0.72176	49.29	0.291	rgb(220,161,162)	1.972	2,2
Zfp629	Sqstm1	0.71889	49.28	0.281	rgb(220,163,164)	1.9718	2,2
Sall4	Srgap3	0.71602	49.27	0.275	rgb(220,165,165)	1.9716	2,2
Nfat5	Stap1	0.71315	49.24	0.245	rgb(220,170,171)	1.971	None
E4f1	St8sia6	0.71028	49.23	0.233	rgb(220,172,173)	1.9708	2,2
Foxh1	Srpk1	0.70741	49.21	0.21	rgb(219,177,177)	1.9704	None
Plagl1	Sspo	0.70741	49.21	0.213	rgb(219,176,177)	1.9704	None
Tcf12	Sqstm1	-0.70741	49.21	-2.1E-01	rgb(172,190,225)	1.9704	None
Mitf	Ssh2	0.70454	49.19	0.19	rgb(219,181,181)	1.97	None
Nfat5	St18	0.70167	49.18	0.182	rgb(219,182,183)	1.9698	None
Irf5	Stap1	0.6988	49.17	0.175	rgb(219,184,184)	1.9696	None
Foxq1	Stap1	0.69593	49.16	0.157	rgb(219,187,187)	1.9694	None
Hdx	St8sia6	0.69306	49.13	0.135	rgb(218,191,192)	1.9688	None
Nr4a1	St6galnac1	0.69019	49.12	0.115	rgb(218,195,195)	1.9686	2,2
Maff	Srgn	0.68731	49.06	0.063	rgb(218,205,205)	1.9674	None
Hmga1	Stambp	0.68731	49.06	0.684	rgb(225, 86, 88)	1.9674	None
Zfp219	St3gal5	0.68444	48.51	0.507	rgb(223,120,121)	1.9563	None
Nr4a1	Ssh2	-0.68164	48.37	-3.7E-01	rgb(137,169,231)	1.9535	2,2
Klf10	Src	0.67884	48.36	0.62	rgb(224, 99,100)	1.9533	None
Klf11	Src	0.67884	48.36	0.62	rgb(224, 99,100)	1.9533	None
Cux1	Srpk2	0.67604	48.35	0.35	rgb(221,150,151)	1.9531	2,2
Ebf1	Spsb4	0.67324	48.34	0.341	rgb(221,152,153)	1.9529	2,2
Atmin	Ss18	-0.67043	48.31	-3.1E-01	rgb(150,176,229)	1.9523	2,2
Snapc2	St6galnac1	-0.66763	48.3	-3.0E-01	rgb(152,177,228)	1.9521	2,2
Six4	Stab1	0.66483	48.27	0.272	rgb(220,165,166)	1.9515	2,2
Zfp628	St6galnac1	0.66483	48.27	0.269	rgb(220,166,166)	1.9515	None
Gata1	Srpk2	0.66203	48.26	0.263	rgb(220,167,167)	1.9513	None
Myc	Srgn	-0.65923	48.25	-2.5E-01	rgb(163,184,227)	1.9511	None
Snai3	St14	-0.65923	48.25	-2.5E-01	rgb(164,185,226)	1.9511	2,2
Zbtb33	Ss18	0.65643	48.24	0.244	rgb(220,170,171)	1.9509	None
Gata3	Srpk1	0.65362	48.23	0.233	rgb(220,173,173)	1.9507	None
Zfp651	Srpk1	-0.65362	48.23	-2.3E-01	rgb(167,187,226)	1.9507	2,2
Bcl11b	Stap1	0.65082	48.22	0.218	rgb(219,175,176)	1.9505	None
Hif3a	Ssh2	0.64802	48.19	0.186	rgb(219,182,182)	1.9499	None
Ikzf2	Stap1	0.64802	48.19	0.192	rgb(219,180,181)	1.9499	None
Rarg	Stab1	0.64802	48.19	0.194	rgb(219,180,180)	1.9499	2,2
Tef	Sptlc1	-0.64522	48.18	-1.8E-01	rgb(177,193,224)	1.9497	2,2
Batf	Spsb4	0.64242	48.17	0.166	rgb(219,185,186)	1.9495	None
Myc	Sqstm1	-0.64242	48.17	-1.7E-01	rgb(181,195,223)	1.9495	None
Klf7	Sqstm1	0.63961	48.15	0.152	rgb(219,188,188)	1.9491	None
Six5	St6galnac1	0.63681	48.14	0.143	rgb(219,190,190)	1.9489	None
Srebf2	Sra1	0.63401	48.13	0.131	rgb(218,192,192)	1.9487	None
Sp4	Sspo	0.63121	48.12	0.121	rgb(218,194,194)	1.9485	None
Klf12	Ssbp4	0.62841	48.11	0.105	rgb(218,197,197)	1.9483	None
Smad4	St3gal1	-0.6256	48.09	-8.9E-02	rgb(198,205,220)	1.9479	None
Cux1	Sspo	-0.6228	48.05	-5.3E-02	rgb(206,210,219)	1.9471	None
Ovol2	Srsf12	0.62	47.43	0.428	rgb(222,135,136)	1.9346	2,2
Zfp707	Ss18	0.61708	47.41	0.408	rgb(221,139,140)	1.9342	2,2
Rbck1	Srpk1	-0.61415	47.39	-3.9E-01	rgb(133,166,232)	1.9338	2,2
Rreb1	Sqstm1	0.61123	47.38	0.377	rgb(221,145,146)	1.9336	None
Smad3	Src	0.61123	47.38	0.382	rgb(221,144,145)	1.9336	None
Nfe2l2	Spsb4	-0.6083	47.33	-3.3E-01	rgb(145,173,230)	1.9326	2,2
Zfp791	Sspo	0.6083	47.33	0.331	rgb(221,154,154)	1.9326	2,2
Bcl11b	Srgap3	-0.60538	47.32	-3.2E-01	rgb(148,175,229)	1.9324	2,2
L3mbtl3	Src	0.60538	47.32	0.323	rgb(221,155,156)	1.9324	2,2
Ets1	Srgap3	0.60246	47.28	0.282	rgb(220,163,164)	1.9316	None
Myc	Sqle	0.59953	47.27	0.266	rgb(220,166,167)	1.9314	2,2
Nfic	St7l	-0.59953	47.27	-2.7E-01	rgb(158,181,227)	1.9314	2,2
Relb	St3gal1	0.59661	47.24	0.244	rgb(220,170,171)	1.9308	None
Meis2	Srgn	-0.59368	47.23	-2.3E-01	rgb(166,186,226)	1.9306	None
Sohlh1	St18	0.59076	47.22	0.217	rgb(219,176,176)	1.9304	2,2
Hlx	Spsb1	-0.58784	47.21	-2.1E-01	rgb(171,189,225)	1.9302	2,2
Ybx2	Sspo	0.58491	47.19	0.186	rgb(219,182,182)	1.9298	2,2
Zbtb32	Ss18	-0.58491	47.19	-1.9E-01	rgb(175,191,224)	1.9298	2,2
Zfp354c	St14	-0.58491	47.19	-1.9E-01	rgb(177,193,224)	1.9298	2,2
Irf1	Stap1	0.58199	47.16	0.164	rgb(219,186,186)	1.9291	None
Rarg	Stap1	-0.57906	47.14	-1.4E-01	rgb(187,199,222)	1.9287	None
Foxp3	Sqstm1	0.57614	47.13	0.127	rgb(218,193,193)	1.9285	None
Six5	Srgn	-0.57322	47.11	-1.1E-01	rgb(194,203,221)	1.9281	None
Bach1	Srpk2	-0.57029	47.03	-2.6E-02	rgb(211,214,218)	1.9265	None
Foxn2	Stap1	0.56737	47.01	0.008	rgb(217,216,216)	1.9261	None
Dmtf1	Ss18	0.56444	46.5	0.497	rgb(222,122,123)	1.9159	2,2
Zfp358	Src	0.56171	46.47	0.469	rgb(222,127,128)	1.9153	2,2
Lyl1	Stap1	0.55897	46.45	0.493	rgb(222,123,124)	1.9149	None
Tal2	Stap1	0.55897	46.45	0.493	rgb(222,123,124)	1.9149	None
Ascl2	Sra1	-0.55624	46.43	-4.3E-01	rgb(125,161,233)	1.9145	2,2
Zfp329	St7	-0.55624	46.43	-4.3E-01	rgb(124,160,233)	1.9145	2,2
Setdb2	St8sia6	0.5535	46.41	0.407	rgb(221,139,140)	1.914	2,2
Thap2	Sqstm1	-0.55077	46.4	-4.0E-01	rgb(129,164,232)	1.9138	2,2
Tead1	Srsf12	-0.54803	46.35	-3.5E-01	rgb(142,171,230)	1.9128	2,2
Aebp2	Srpk2	-0.5453	46.32	-3.2E-01	rgb(148,175,229)	1.9122	2,2
