TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Prdm8	Sptlc1	0.39478	44.1	0.099	rgb(218,198,198)	1.8676	2,2
Smad4	St18	-0.39227	44.07	-7.0E-02	rgb(202,208,220)	1.8669	2,2
Irf1	Spsb4	0.38976	44.06	0.056	rgb(218,206,206)	1.8667	None
Nfat5	Spsb4	0.38725	44.04	0.036	rgb(217,210,210)	1.8663	2,2
Zbtb6	St14	-0.38473	44.02	-2.0E-02	rgb(213,214,218)	1.8659	2,2
Trp53	Srpk1	-0.38222	43.39	-3.9E-01	rgb(132,165,232)	1.8533	2,2
Zhx3	Srgap3	-0.37963	43.31	-3.1E-01	rgb(150,176,229)	1.8517	2,2
Rreb1	Src	0.37704	43.29	0.292	rgb(220,161,162)	1.8512	None
Foxc1	Srgn	-0.37444	43.21	-2.1E-01	rgb(171,189,225)	1.8496	None
Foxf2	St3gal1	0.37444	43.21	0.21	rgb(219,177,177)	1.8496	None
Foxn3	St14	-0.37185	43.19	-1.9E-01	rgb(176,192,224)	1.8492	2,2
Nkx3-1	Stap1	0.36926	43.16	0.157	rgb(219,187,187)	1.8486	None
Meis1	Ssh2	0.36667	43.14	0.135	rgb(218,191,191)	1.8482	None
Hes5	Spsb1	-0.36407	43.13	-1.3E-01	rgb(188,200,222)	1.848	2,2
Runx2	St3gal5	0.36407	43.13	0.134	rgb(218,191,192)	1.848	None
Stat1	St3gal1	-0.36148	43.1	-1.0E-01	rgb(195,203,221)	1.8474	None
Egr2	Stac2	0.35889	43.09	0.092	rgb(218,199,200)	1.8472	None
Atf3	St8sia6	0.3563	43.05	0.048	rgb(218,208,208)	1.8464	None
Nacc2	Sqle	-0.3537	43.03	-2.9E-02	rgb(211,213,218)	1.846	2,2
Mga	Sspo	0.35111	42.41	0.414	rgb(222,138,139)	1.8335	2,2
Zfp184	Srsf12	0.34736	42.34	0.338	rgb(221,152,153)	1.8321	2,2
Sox5	Sqle	-0.34361	42.31	-3.1E-01	rgb(149,176,229)	1.8315	2,2
Zfp526	St7	-0.34361	42.31	-3.1E-01	rgb(149,175,229)	1.8315	2,2
Dmrt1	Srpk2	0.33986	42.27	0.269	rgb(220,166,166)	1.8307	2,2
Gm14326	Srpk2	-0.33611	42.24	-2.4E-01	rgb(165,185,226)	1.8301	2,2
Rxra	Stac2	0.33236	42.22	0.221	rgb(219,175,175)	1.8297	None
Satb2	St3gal5	0.33236	42.22	0.224	rgb(219,174,175)	1.8297	2,2
