TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Rreb1	Ikbke	0.77687	0.76211	rgb(225, 71, 73)	1.8848	2,2
Stat3	Asap1	-0.77515	-0.67789	rgb( 70,128,243)	1.0833	2,2
Egr4	Bend3	0.77398	0.62526	rgb(224, 98, 99)	1.8833	2,2
Pou2f2	Smpd4	-0.7735	-0.34421	rgb(142,172,230)	1.0842	2,2
Egr4	Rnh1	-0.77311	-0.55684	rgb( 96,143,238)	1.0844	2,2
Rreb1	Tsc1	0.77309	0.6	rgb(224,102,104)	1.8828	2,2
Srebf2	Ptprcap	-0.77186	-0.66526	rgb( 73,129,242)	1.085	2,2
Ets1	Znhit6	0.77083	0.58632	rgb(223,105,106)	1.8817	2,2
Prox1	Gbp7	0.76988	0.55158	rgb(223,112,113)	1.8812	2,2
Elk3	Aldh3a2	0.76861	0.53053	rgb(223,116,117)	1.8805	2,2
Bcl6b	Psmd8	0.76499	0.59895	rgb(224,103,104)	1.8786	2,2
Pou2f2	Crem	0.76486	0.84842	rgb(226, 55, 57)	1.8786	2,2
Elf1	Lrrc59	-0.76425	-0.68526	rgb( 68,127,243)	1.089	2,2
Stat3	Ttyh3	-0.7623	-0.59474	rgb( 88,138,240)	1.09	2,2
Zbtb7b	Zfp609	0.76167	0.61789	rgb(224, 99,100)	1.8769	2,2
Klf5	Hmgn1	-0.76128	-0.54737	rgb( 98,145,238)	1.0905	2,2
Stat2	Gbp4	0.76045	0.6	rgb(224,102,104)	1.8763	2,2
Ikzf2	Hist2h4	0.75976	0.68105	rgb(224, 87, 88)	1.8759	2,2
Nhlh1	Gpr146	0.75955	0.64105	rgb(224, 95, 96)	1.8758	2,2
Klf5	Trim3	0.75915	0.58	rgb(223,106,107)	1.8756	2,2
Nr1d2	Il17f	0.75852	0.45895	rgb(222,129,130)	1.8753	2,2
E2f1	Gmfg	-0.75771	-0.76105	rgb( 52,117,246)	1.0923	2,2
Foxp1	Rnf19b	-0.75674	-0.61579	rgb( 83,136,240)	1.0928	2,2
Klf8	Stoml1	0.75593	0.53579	rgb(223,115,116)	1.874	2,2
Sp3	Aldoc	0.75447	0.54105	rgb(223,114,115)	1.8732	2,2
Klf8	Susd3	0.75433	0.70632	rgb(225, 82, 84)	1.8731	2,2
Stat3	Timp1	0.75403	0.70316	rgb(225, 83, 84)	1.873	2,2
Nr4a2	Ipcef1	0.75273	0.85368	rgb(226, 54, 56)	1.8723	2,2
Elf1	Ppp1r13l	-0.75094	-0.71158	rgb( 63,123,244)	1.0958	2,2
Egr3	Ralb	-0.75085	-0.68526	rgb( 68,127,243)	1.0959	2,2
Zbtb46	Scin	0.75078	0.58526	rgb(223,105,106)	1.8713	2,2
Rela	Ptpn1	-0.75056	-0.72632	rgb( 59,121,245)	1.096	2,2
Ankzf1	3110057O12Rik	0.75016	0.55474	rgb(223,111,112)	1.871	2,2
Hif1a	P4hb	0.74982	0.74316	rgb(225, 75, 77)	1.8708	2,2
Stat3	Socs3	0.74806	0.52	rgb(223,118,119)	1.8699	2,2
Zbtb46	Idi2	0.74765	0.65684	rgb(224, 92, 93)	1.8697	2,2
Fosl1	Pstpip1	0.74754	0.65895	rgb(224, 91, 92)	1.8696	2,2
Gfi1	Plod2	0.74718	0.60842	rgb(224,101,102)	1.8694	2,2
Irf4	Sfmbt2	0.74628	0.68947	rgb(225, 85, 87)	1.869	2,2
Gabpa	Zfp568	0.74451	0.59789	rgb(224,103,104)	1.8681	2,2
Srebf1	Mxd3	0.74425	0.42421	rgb(222,136,137)	1.8679	2,2
Zfx	S100a1	-0.74402	-0.51053	rgb(106,150,236)	1.0994	2,2
Srebf1	4932438H23Rik	0.74376	0.57579	rgb(223,107,108)	1.8677	2,2
Bcl6	Spef2	0.74221	0.67895	rgb(224, 87, 89)	1.8669	2,2
Zfp148	Klf13	0.74215	0.64632	rgb(224, 94, 95)	1.8669	2,2
Bhlhe40	Cnnm3	0.7416	0.55579	rgb(223,111,112)	1.8666	2,2
Lcor	Psme1	0.74143	0.59474	rgb(224,103,105)	1.8665	2,2
Stat2	Gbp8	0.73968	0.65895	rgb(224, 91, 92)	1.8656	2,2
E2f1	Samd1	0.73927	0.65263	rgb(224, 92, 94)	1.8654	2,2
Nfatc1	Tbc1d14	-0.73874	-0.76	rgb( 52,117,246)	1.1021	2,2
Runx2	Cd9	0.73845	0.56211	rgb(223,110,111)	1.8649	2,2
Fosl1	Lamc1	0.73769	0.65895	rgb(224, 91, 92)	1.8645	2,2
Zfx	Urb1	0.73749	0.42105	rgb(222,137,137)	1.8644	2,2
Pou2f2	Ddit3	0.73594	0.60842	rgb(224,101,102)	1.8636	2,2
Hif1a	Jmjd6	0.73489	0.64105	rgb(224, 95, 96)	1.8631	2,2
Irf9	Parp9	0.73479	0.58105	rgb(223,106,107)	1.8631	2,2
Zfp281	Ppard	0.73359	0.61368	rgb(224,100,101)	1.8624	2,2
Hsf4	Syf2	0.73282	0.65474	rgb(224, 92, 93)	1.862	None
Zfp335	Krtcap2	-0.73206	-0.64947	rgb( 76,131,242)	1.1056	2,2
Bbx	Il10	0.73202	0.67368	rgb(224, 88, 90)	1.8616	2,2
Irf4	Rap1gds1	-0.72905	-0.51053	rgb(106,150,236)	1.1071	2,2
Vdr	Cdk16	0.72881	0.52316	rgb(223,117,118)	1.86	2,2
Zfp362	Foxp4	0.72877	0.50316	rgb(223,121,122)	1.8599	2,2
Stat4	Espn	0.72818	0.59474	rgb(224,103,105)	1.8596	2,2
Stat1	Dtx3l	0.72815	0.46737	rgb(222,128,129)	1.8596	2,2
Klf12	Espn	0.72755	0.58737	rgb(223,105,106)	1.8593	None
Pou2f2	Urb1	-0.72745	-0.42526	rgb(125,161,233)	1.108	2,2
E2f4	Dars2	0.72705	0.67053	rgb(224, 89, 90)	1.859	2,2
Klf5	Nucks1	-0.72678	-0.66947	rgb( 72,129,242)	1.1083	2,2
Egr4	Rfx7	0.72662	0.67579	rgb(224, 88, 89)	1.8588	2,2
Foxp2	Sh2d4a	0.72612	0.63684	rgb(224, 95, 97)	1.8586	2,2
Klf8	Hist1h1e	0.7253	0.57579	rgb(223,107,108)	1.8582	2,2
