TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Batf	Bmpr1a	0.75794	0.6669	rgb(224, 90, 91)	1.8778	2,2
Cebpg	Dst	0.75679	0.7525	rgb(225, 73, 75)	1.8772	2,2
Mef2d	Qser1	0.75582	0.75749	rgb(225, 72, 74)	1.8767	2,2
Trp53	Cd81	0.75466	0.51141	rgb(223,119,120)	1.8761	2,2
Hsf4	Syf2	0.75296	0.63552	rgb(224, 96, 97)	1.8753	2,2
Trp53	Ccng1	0.75246	0.61484	rgb(224,100,101)	1.875	2,2
Zfp263	Crip1	0.75145	0.81098	rgb(226, 62, 64)	1.8745	2,2
Prdm1	Txndc17	0.75124	0.6291	rgb(224, 97, 98)	1.8744	2,2
Egr1	Ick	0.75117	0.62054	rgb(224, 98,100)	1.8744	2,2
Irf5	Clec2i	0.74883	0.57418	rgb(223,107,108)	1.8732	2,2
Irf8	Serpinb9	0.74862	0.55849	rgb(223,110,111)	1.8731	2,2
E2f1	Tnk2	0.7479	0.52568	rgb(223,117,118)	1.8727	None
E2f4	Cdkn2c	0.74654	0.82311	rgb(226, 60, 61)	1.872	2,2
Myc	Ypel5	-0.74612	-0.72611	rgb( 59,121,245)	1.1183	2,2
Egr1	Dyx1c1	0.74566	0.65335	rgb(224, 92, 94)	1.8716	2,2
Cebpb	Myd88	-0.74449	-0.70185	rgb( 65,124,244)	1.1191	2,2
Tcf3	Flot1	0.74436	0.71541	rgb(225, 80, 82)	1.8709	2,2
Nr1d1	Stab1	0.74204	0.64051	rgb(224, 95, 96)	1.8697	2,2
Meis3	Serpinb6b	0.74148	0.68474	rgb(225, 86, 88)	1.8695	2,2
Ascl2	Exosc8	-0.74141	-0.64979	rgb( 76,131,242)	1.1207	2,2
Yy2	Utp20	0.74135	0.6776	rgb(224, 88, 89)	1.8694	2,2
Cic	Il9	0.73984	0.61983	rgb(224, 99,100)	1.8686	2,2
E2f4	Tyms	0.73738	0.72539	rgb(225, 78, 80)	1.8674	2,2
Zfp385a	Zmat3	0.73609	0.85164	rgb(226, 54, 56)	1.8667	2,2
Foxo1	Ypel3	0.73565	0.61056	rgb(224,100,102)	1.8665	2,2
Zfp367	Dtl	0.73307	0.55064	rgb(223,112,113)	1.8652	2,2
Foxj1	Traf3	-0.73227	-0.70899	rgb( 63,123,244)	1.1253	2,2
Pou2f2	Smpd4	-0.73155	-0.59986	rgb( 87,138,240)	1.1256	2,2
Elk3	Aldh3a2	0.72936	0.6612	rgb(224, 91, 92)	1.8633	2,2
Zfp536	Rpl10a	0.72868	0.72111	rgb(225, 79, 81)	1.863	2,2
Nr3c1	Commd9	0.72786	0.69757	rgb(225, 84, 85)	1.8626	2,2
Stat3	Slamf6	-0.72662	-0.6883	rgb( 68,126,243)	1.1281	2,2
Batf	Hif1a	0.72445	0.62411	rgb(224, 98, 99)	1.8609	2,2
Hey1	Ddx51	0.72431	0.65763	rgb(224, 91, 93)	1.8608	2,2
Vdr	Cdk16	0.72429	0.70471	rgb(225, 82, 84)	1.8608	2,2
Nr3c1	Gemin6	0.72212	0.75036	rgb(225, 74, 75)	1.8597	2,2
Srebf1	Wdr81	0.72007	0.65121	rgb(224, 93, 94)	1.8586	2,2
Rreb1	Ikbke	0.71946	0.73181	rgb(225, 77, 79)	1.8583	2,2
Zfp263	Ncdn	-0.71714	-0.73609	rgb( 57,120,245)	1.1329	None
Rela	Tnk2	-0.71677	-0.50999	rgb(106,150,236)	1.1331	2,2
Zfp182	Cysltr1	0.71634	0.57917	rgb(223,106,108)	1.8568	2,2
Bhlhe40	Bmp2k	0.71506	0.74679	rgb(225, 74, 76)	1.8561	2,2
Mga	Il12rb2	0.71451	0.58488	rgb(223,105,106)	1.8558	2,2
C030039L03Rik	Ankzf1	0.71287	0.69757	rgb(225, 84, 85)	1.855	2,2
Batf	Acsl4	0.71187	0.63552	rgb(224, 96, 97)	1.8545	2,2
Hey1	Rpl36al	-0.70879	-0.69686	rgb( 66,125,243)	1.1371	None
Egr3	Ralb	-0.70749	-0.72468	rgb( 60,121,245)	1.1378	None
Cebpb	Ell2	0.70748	0.67903	rgb(224, 87, 89)	1.8523	2,2
Srebf2	Ptprcap	-0.70708	-0.69401	rgb( 66,125,243)	1.138	2,2
Irf4	Serpinb9	0.70702	0.55278	rgb(223,111,113)	1.8521	2,2
Egr1	Cd81	0.70489	0.49929	rgb(222,122,123)	1.851	2,2
Meis1	Trappc10	0.70481	0.60128	rgb(224,102,103)	1.8509	2,2
Zfhx2	Emp1	0.70294	0.61698	rgb(224, 99,100)	1.85	2,2
Egr3	Skap2	-0.70293	-0.53067	rgb(102,147,237)	1.1401	2,2
Stat4	Arid5a	0.70276	0.72539	rgb(225, 78, 80)	1.8499	2,2
Zfp263	Higd1a	0.7017	0.6184	rgb(224, 99,100)	1.8494	2,2
Batf	Bid	-0.70117	-0.70185	rgb( 65,124,244)	1.141	2,2
Hmg20b	Traf6	-0.70046	-0.71541	rgb( 62,123,244)	1.1413	2,2
Stat1	Parp9	0.70029	0.54708	rgb(223,113,114)	1.8487	2,2
Satb1_Satb2	Hist1h1c	0.69928	0.56633	rgb(223,109,110)	1.8482	2,2
Foxp1	Rnf19b	-0.69896	-0.64265	rgb( 78,132,241)	1.1421	2,2
Sp3	Mapk3	0.69687	0.56633	rgb(223,109,110)	1.8469	2,2
Foxp1	Dgat1	-0.69569	-0.72397	rgb( 60,121,245)	1.1437	2,2
Tet3	Cnnm3	0.69448	0.60414	rgb(224,102,103)	1.8457	2,2
Creb5	Hist3h2a	0.69255	0.56562	rgb(223,109,110)	1.8448	2,2
