TF	Target	combined_confidence
Zfp90	Ick	0.9957314163213672
Ski	Ifitm2	0.9957276287582095
Atf2	Armcx2	0.9956821780003181
Creb1	Commd9	0.9956594526213725
Fli1	Rfwd3	0.995576126231905
Fosl1	Uqcrq	0.995576126231905
Irf4	Rtp4	0.9955534008529592
Runx2	Cd84	0.9954624993371765
Satb1	Chmp4b	0.9954359863950731
Hif1a	Aldoa	0.9953943232003394
Mafg	Cd5l	0.9953943232003394
Stat5b	Stx1a	0.9953943232003394
Atf2	Gimap4	0.9953753853845513
Zfp52	Ehd3	0.9953450848792904
Gabpa	Tprkb	0.9953261470635023
Zkscan1	Hmgcr	0.9952882714319261
Litaf	Tnf	0.9952769087424532
Gpbp1	Plod3	0.9952617584898228
Litaf	Snx9	0.9952466082371924
Zfpm1	Il24	0.9952238828582467
Klf10	Ccr8	0.9951481315950943
Atf2	Slc35d1	0.9951254062161486
Klf10	Tnfrsf25	0.9950837430214149
Litaf	Il3	0.9950572300793116
Irf9	Parp9	0.9950345047003659
Creb3l2	Tnfrsf21	0.9950307171372083
Nfe2l2	Prkch	0.9950307171372083
Egr2	Il7r	0.995023142010893
Mtf2	Ell2	0.9950193544477354
Zbtb45	Rpl14	0.9950079917582626
Nfkb2	Plagl1	0.9950042041951049
Adnp	Cd1d1	0.9949663285635288
Litaf	Tmem38b	0.9949663285635288
Trps1	Etv6	0.9949360280582679
Zfp260	Map3k1	0.9948943648635341
Eea1	Tex15	0.9948867897372189
Zfp202	Fbxw2	0.9948830021740612
Zbtb1	Pts	0.9948337638530123
Hif1a	Hexb	0.994826188726697
Zfp68	Ptprs	0.9948148260372242
Klf10	Twsg1	0.9947542250267023
Mbd3	Brd3	0.9947504374635447
Relb	Rdh11	0.9946936240161804
Zbtb32	Galnt3	0.9946746862003923
Zfp35	Thoc3	0.9946330230056586
Plscr1	Plod2	0.99459893493724
Zfp869	Pgam1	0.9945875722477673
Nhlh1	Lbp	0.9945686344319792
Zfp688	Acad8	0.9945686344319792
Gata3	Wisp1	0.9945648468688215
Nr1d2	Nr4a1	0.9945459090530334
Zfp426	Fap	0.9945269712372454
Srebf1	Cd274	0.9945118209846149
