TF	Target	combined_confidence
Ncoa1	Fbxo21	0.9957241935301585
Ash1l	Fyco1	0.9957015901479391
Cux1	Cdkn2c	0.9956940556871994
Tulp3	Mapk3	0.9956752195353498
Rreb1	Cd274	0.995588573236842
Irf8	Dcxr	0.9955810387761022
Zbtb32	Acsl6	0.9955546681635129
Nr1d2	Tnfrsf25	0.9955207630901838
Klf10	Tgfbr1	0.9954943924775944
Maff	Cdkn1b	0.9954868580168545
Stat2	Il15ra	0.9954642546346352
Satb1	Cmtm7	0.9954152806398264
Zeb2	Aqp3	0.9954077461790866
Mxd4	Ypel3	0.9953060309590992
Tef	Trip10	0.9953022637287293
Zfp386	Spry1	0.9952306863517011
Zfp296	Ptger2	0.9952080829694817
Phf20	Kifc3	0.9951854795872622
Hmga1	Il10	0.9951817123568923
Tulp3	Creb3l2	0.9951741778961525
Drap1	Atp6v1d	0.9951214366709739
Zeb1	Ctsb	0.9951063677494942
Stat2	Isg20	0.9950988332887545
Zfp35	Sepw1	0.9950536265243156
Satb1	Gfi1	0.995038557602836
Phf1	Kdelc1	0.9950310231420961
Elk3	Dhrs4	0.9950272559117262
Nr4a1	Rcl1	0.9949933508383971
Relb	Ifitm1	0.9949895836080273
Hif1a	Bmpr1a	0.9949858163776573
Ncoa1	Wwp1	0.9949406096132185
Sp3	Il7r	0.9949255406917389
Ankzf1	Bnip3	0.994918006230999
Zfp644	Zadh2	0.9948313599324913
Pou6f1	Wdr1	0.9948275927021213
Rreb1	Ifi203	0.9948049893199019
Eea1	Map3k8	0.994797454859162
Ets2	B4galnt1	0.9947936876287922
Phf20	Emp1	0.9947936876287922
Irf9	Rsad2	0.9947861531680524
Fli1	Trib2	0.9947748514769427
Mbd6	Zfp36l2	0.9947673170162029
Arid2	Plod2	0.994759782555463
Drap1	Rps14	0.9947484808643533
Maff	Cog6	0.9947409464036135
Eea1	Nfat5	0.9947296447125038
E2f1	Exo1	0.9947070413302844
Stat3	Chm	0.9946995068695446
Zfp277	Stard5	0.9946919724088048
Rel	Arrb2	0.9946769034873252
Runx1	Serpinf1	0.9946693690265853
Zfp329	Gripap1	0.9946618345658456
Klf4	Papss1	0.9946543001051057
Rel	Ly6a	0.9946505328747358
Ikzf4	Cd5l	0.9946467656443659
Tcf12	Slco3a1	0.9946429984139961
Maff	Polr3gl	0.9946316967228863
Cic	Pdpn	0.9946203950317766
Egr2	Exoc4	0.9946128605710368
Zfp426	Chmp4b	0.9945977916495572
Tsc22d1	Cdadc1	0.9945902571888173
Mxi1	Tnfrsf21	0.9945525848851183
Ets1	Tspan6	0.9945375159636387
Kdm2b	Cdc25b	0.9945073781206795
Atf6b	Auh	0.9944621713562406
Foxn2	Cbx4	0.9944546368955008
Arid2	Eif4ebp1	0.9944508696651309
Kdm2b	Rbm15	0.9943830595184726
Bcl11b	Lrmp	0.9943755250577329
Srebf2	Mapk11	0.994367990596993
Zfp688	Acad8	0.9943340855236639
Foxo3	Sell	0.994326551062924
Stat1	Gpsm2	0.9942964132199648
Nfic	Acss1	0.9942587409162658
Cic	Arhgef3	0.994247439225156
Irf8	Serpinb9	0.9942286030733065
Mef2d	Klf3	0.9942248358429366
Hmga1	Rpl10a	0.9942059996910871
Nfkb2	Enpp1	0.9941984652303473
Egr3	BC021614	0.9941946979999774
Stat5b	Hook2	0.9941758618481279
Batf	Syne1	0.9941645601570182
Drap1	Naca	0.9941570256962784
Erf	Pkp3	0.994130655083689
Klf3	Gsn	0.9941231206229492
Mef2d	Nudt8	0.9941005172407298
Drap1	Arrb2	0.9940666121674007
Nfic	Tnfrsf1a	0.9940628449370308
Cic	Plxnc1	0.9940590777066608
Adnp	Fbxo11	0.9940402415548113
Irf2	Ifi203	0.9940402415548113
Scml4	Lrrc59	0.9940327070940715
Ikzf4	Abcb1b	0.9940214054029618
Cdc5l	Arhgef3	0.9940063364814822
Zfp703	Zfpm1	0.9939950347903724
Irf8	Tmem19	0.9939912675600026
Gabpa	Naga	0.9939875003296327
Zbtb17	Cln5	0.9939761986385229
Litaf	Tfpi	0.9939422935651938
Satb1	Id2	0.9939385263348239
Satb1	Acp5	0.9939121557222346
Irf9	Stat2	0.9938933195703851
Ankzf1	Ndrg2	0.9938631817274258
Clock	Rel	0.993855647266686
Arid5a	Ecm1	0.9938142077326171
Tcf4	Nlgn2	0.9938104405022472
Zfp90	Dclre1a	0.9938029060415073
Rel	Crtam	0.9937501648163287
Runx1	Lpxn	0.9937463975859587
Relb	Nck2	0.9937313286644791
Zfp296	Alcam	0.9937275614341092
Cdc5l	Ppic	0.9937087252822597
Adnp	Slc38a1	0.9936785874393005
Pbx2	Rnf130	0.9936296134444917
Irf4	Chchd7	0.993622078983752
Srebf1	Grn	0.9936107772926422
Zfp87	Rps14	0.9936032428319024
Arid2	Nefh	0.9935731049889431
Adnp	Zadh2	0.9935618032978335
Nfic	Vegfb	0.9935618032978335
Stat3	Gata3	0.9935542688370936
Satb1	Eno3	0.9935467343763539
Nr4a3	Rasgrp2	0.9935429671459839
Foxn2	Tnfrsf12a	0.9935354326852441
Zfp62	Rps6ka4	0.9935278982245044
Cux1	Tnfrsf13c	0.9935128293030248
Zfp617	Siah1a	0.9935128293030248
Atf3	Aqp3	0.9934977603815451
Rest	Spata6	0.9934902259208053
Cbx2	Zscan21	0.9934751569993256
Cggbp1	Tmem71	0.9934450191563664
Cebpz	Ddx51	0.9933847434704479
Irf9	Ifit3	0.9933093988630499
Nhlh1	Capn2	0.9932905627112003
Runx2	Cd9	0.9932453559467616
Zfpm1	Ctla2a	0.9932189853341722
Ncoa3	Pigc	0.9932152181038023
Cux1	Klf10	0.9932114508734323
Zbtb17	Adck1	0.9932001491823227
Irf9	Rtp4	0.9931737785697333
Junb	Zfp239	0.9931662441089935
Nfkb1	Ankrd13c	0.9931624768786236
Ncoa1	Cd5l	0.9931549424178838
Ncoa1	Sorl1	0.9931135028838148
Stat2	Pdpn	0.9930984339623352
Arid5a	Arf1	0.9930946667319653
Atf6	Myd88	0.9930117876638275
Ncoa1	Asf1a	0.9930042532030876
Fli1	Tyms	0.9930004859727177
Litaf	Ccl3	0.9929967187423479
Cebpb	Impdh1	0.9929628136690187
Zbtb20	Cbx4	0.9929477447475391
Zfp90	Ift57	0.9929439775171691
Atf6b	Ddx51	0.9929176069045799
Plscr1	Asns	0.9928912362919905
Rxrb	Afp	0.9928874690616206
Cenpb	Dyx1c1	0.992872400140141
Zhx1	Arhgap17	0.9928648656794011
Myc	Myo6	0.9928384950668119
Hif1a	Pafah1b3	0.9928158916845924
Pou2af1	Utrn	0.9927857538416331
Fosl2	Ifitm3	0.9927782193808934
Foxn2	Tmem71	0.9927706849201535
Irf9	Sepw1	0.9927706849201535
Rreb1	Ppcdc	0.9927593832290439
Dmtf1	Rpn1	0.9927254781557147
Irf9	Oasl2	0.9926915730823855
Zfp703	Tapbpl	0.9926652024697963
Smad4	B4galt1	0.9926199957053574
Plscr1	Got1	0.9925973923231379
Rora	Marveld1	0.9925860906320282
Zfp869	Ets2	0.9925484183283292
Atf6b	S100a13	0.9925371166372194
Litaf	Ctss	0.9925258149461098
Nfic	Runx2	0.9925032115638903
Hif1a	Rnf113a1	0.9924956771031506
Zfp277	Asnsd1	0.9924768409513011
Drap1	Vegfb	0.9924730737209311
Zfpm1	Clic1	0.9924580047994515
Terf1	Cdc25b	0.9924467031083418
Nr1d2	Nsf	0.9924203324957525
Zfpm1	Il24	0.9923901946527932
Zbtb32	Ggta1	0.9923751257313136
Zfp598	Dyx1c1	0.9923751257313136
Cggbp1	Herc4	0.9923675912705738
Cic	Il1rn	0.992360056809834
Rela	Smarca2	0.9923374534276146
Zfp277	Maoa	0.9923374534276146
Ddit3	Gem	0.992318617275765
Klf10	Ctsw	0.992318617275765
Srf	Klrd1	0.9923148500453951
Patz1	Zfp36l2	0.9923110828150252
Cenpb	Itgb5	0.9923073155846553
Cebpg	Pgam1	0.9922997811239155
Fosl1	Jak3	0.9922997811239155
Ncoa1	Stx1a	0.9922960138935456
Mxd4	Utp20	0.9922621088202165
Srf	Wee1	0.9922319709772572
Fli1	Sorl1	0.992201833134298
Mafg	Cmtm7	0.992201833134298
Rxrb	Socs2	0.9921905314431883
Atf6b	Cox7a2l	0.9921829969824485
Ddit3	Gimap4	0.9921829969824485
Zfp277	Afp	0.9921679280609689
Litaf	Igtp	0.992164160830599
Nfkb2	Ptprs	0.99212272129653
Stat5b	Cep68	0.9920925834535708
Hif1a	Clybl	0.9920473766891319
Mxi1	Galk1	0.9920473766891319
Zfp574	Psme2	0.992043609458762
Cux1	Fads2	0.9920360749980222
Srf	Pigb	0.9919984026943232
Zeb2	Ptger2	0.9919795665424737
Plscr1	Arhgdig	0.9919569631602542
Gabpa	Mxi1	0.9919381270084047
Satb1	Ncf1	0.9919381270084047
Stat1	Stat2	0.9919155236261853
Satb1	Dgat1	0.9919117563958154
Maff	Gla	0.9918966874743358
Klf4	Clic1	0.9918929202439658
Bcl11b	Nlgn2	0.9918816185528562
Cebpb	Kctd12	0.9918816185528562
Nfatc1	Mtss1	0.9918552479402668
Ddit3	Rhbdf1	0.9918062739454581
Zbtb7b	Tspan3	0.9918062739454581
Zeb2	Fbxo4	0.9917874377936086
Mnt	Slc38a1	0.99173092933806
Foxo3	Slc39a8	0.991693257034361
Nfatc1	Itgb7	0.991689489803991
Nfil3	Hsd17b7	0.991651817500292
E2f1	Dtl	0.9916216796573327
Zfp617	Ucp2	0.9916216796573327
Nfatc1	Cln6	0.9916179124269628
Tsc22d1	Plagl1	0.991614145196593
Egr3	Clybl	0.9916028435054832
Cebpb	Ppcdc	0.9915840073536337
Skil	Stambp	0.991572705662524
Zfp445	Rpl24	0.991535033358825
Nr3c1	Rexo4	0.9915274988980851
Sp3	Sdcbp2	0.9914785249032764
Ikzf4	Gart	0.9914596887514269
Zfp386	Aldh3a2	0.991452154290687
Bcl11b	Egln3	0.9914295509084676
Litaf	Inpp1	0.9914107147566181
Bcl11b	Trpv2	0.9913655079921793
Zfp598	Pgrmc1	0.9913504390706996
Cenpb	Ercc5	0.9913429046099598
Mxd4	Heatr1	0.99133537014922
Cic	Syt11	0.9913089995366307
Cux1	Tmem38b	0.9913052323062608
Atf3	Erc1	0.9912788616936714
Cic	Myo10	0.9912374221596025
Satb1	Arid5a	0.9912110515470132
Zbtb17	Rbm15	0.9911884481647937
Mga	Il12rb2	0.9911470086307248
Cic	Rps6ka4	0.9911394741699849
Srebf2	Pik3ca	0.9911394741699849
Zfp52	Il2ra	0.9911357069396151
Sp4	Ankrd13c	0.9911281724788753
Plscr1	Tmbim1	0.9910905001751762
Myb	Zfpm1	0.9910867329448063
Rreb1	Dusp1	0.9910716640233267
Klf6	Lgals1	0.9910528278714772
Ikzf4	Pde7a	0.9910415261803674
Mafg	Cpox	0.9910000866462985
Stat1	Flot2	0.9909925521855587
Foxn2	Sell	0.9909172075781606
Tsc22d1	Uros	0.9909172075781606
Zfpm1	Extl3	0.9908983714263111
Zfx	Higd1a	0.9908983714263111
Runx1	Exoc4	0.9908870697352014
Arid2	Syce2	0.9908682335833519
Skil	Dhcr7	0.9908606991226121
Satb1	Nrp1	0.990823026818913
Zbtb45	Dhcr24	0.9908154923581732
Relb	Cxcl10	0.9908004234366936
Zeb2	Mcoln2	0.9907891217455839
Nhlh1	Tfpi	0.990781587284844
Mef2d	Gripap1	0.9907702855937344
Cic	Itpk1	0.9907589839026246
Zfp445	Ptbp2	0.9907100099078159
Egr1	Kdelc1	0.990702475447076
Litaf	Tnf	0.9906949409863363
Ikzf4	Dlst	0.9906911737559664
Batf	Akap12	0.9906836392952265
Stat3	Skap2	0.9906761048344868
Tbx21	Jak2	0.9906572686826373
Zbtb32	Trpv2	0.9906421997611576
Nfat5	Cd84	0.9906346653004178
Fos	Exo1	0.990623363609308
Hif1a	Ccng2	0.990585691305609
Hif3a	Sh3bp5	0.9905781568448693
Satb1	Creb3l2	0.9905781568448693
Cc2d1a	Rps6ka4	0.9905668551537595
Mtf2	Rgs19	0.9905630879233897
Nr1h2	Nucks1	0.9905291828500604
Zeb2	Slc9a3r1	0.9905028122374712
Satb1	Rassf1	0.9904952777767313
Mnt	Ccng2	0.9904764416248818
Nr1d2	Wdfy2	0.9904538382426624
Zfp426	Tnfrsf13c	0.9904538382426624
Cdc5l	Sra1	0.9904500710122924
Cic	Igfbp4	0.9904086314782236
Fli1	Pde2a	0.9903784936352643
Irf9	Irf7	0.9903709591745244
Klf3	Sema4a	0.9903219851797157
Drap1	Sepw1	0.990310683488606
Ankzf1	Fyco1	0.9902504078026876
Ikzf4	Socs1	0.9902428733419477
Foxp1	Stx7	0.9902240371900982
Rorc	Lgals3	0.9902240371900982
Rreb1	Gripap1	0.9902202699597283
Zfp426	Glipr1	0.9902089682686186
Cic	Smox	0.9902052010382487
Ski	Slco3a1	0.9901976665775089
Zbtb44	Klf13	0.9901901321167691
Cic	Aqp3	0.9901637615041797
Litaf	Tapbp	0.9901599942738099
Relb	Lgals3bp	0.9901411581219604
Batf	Ahnak	0.9900884168967816
Atf6b	Atp1a1	0.9900545118234525
Ski	Klf10	0.9899867016767943
Zfp260	Map3k1	0.9899716327553146
Foxo3	Capn2	0.9899640982945748
Satb1	Gsn	0.9899527966034651
Satb1	Chmp4b	0.9899414949123554
Tsc22d1	Trim26	0.9899264259908758
Zbtb44	Fli1	0.989915124299766
Zfp445	Tsc1	0.9899038226086564
Zkscan1	Hmgcr	0.9899000553782864
Zfp426	Jak2	0.9898962881479165
Zfp644	Pik3ca	0.9898962881479165
Satb1	Kcna3	0.9898925209175466
Ikzf4	Rdh11	0.9898812192264369
Zfp277	Slc3a2	0.9898661503049573
Klf10	Twsg1	0.9898284780012583
Litaf	Ccl4	0.9898171763101485
Mnt	Rcl1	0.9897832712368194
Eea1	Ctsw	0.9897719695457097
Atf6b	Cep68	0.9897154610901612
Hif1a	Pdxp	0.9896928577079417
Xbp1	Hist3h2a	0.9896664870953523
Skil	Thap4	0.9896438837131329
Maff	Npc2	0.9896175131005436
Zfp202	Rbms2	0.989606211409434
Lef1	Trim24	0.9895949097183242
Stat2	Gbp4	0.9895949097183242
Lef1	Sell	0.9895911424879543
Fos	Tmem43	0.9895685391057348
Nr3c1	Commd9	0.9895685391057348
Zfx	Cst3	0.9895572374146251
Egr1	Tnfsf9	0.9895346340324057
Cenpb	Fbxo4	0.9894969617287067
